"","P7_4_Ctrl1","P7_4_Ctrl2","P8_4_Ctrl3","P8_4_Ctrl4","P8_4_Ctrl5","P8_4_Lps3","P8_4_Lps5","P8_4_Lps4","P7_4_Lps1","P7_4_Lps2","P4_5_Ctrl1","P4_5_Ctrl3","P4_5_Ctrl2","P4_5_Lps2","P4_5_Lps3","P4_5_Lps1"
"GM10490",6.32831095991265,2.42351720238171,1.23075986075789,2.71445388452966,6.31924966991748,1.52681629686589,5.7803689591169,4.95968987724574,8.19481691801656,4.51112011581112,0.91402199100109,1.26287035117622,5.14682334511404,4.15815289911914,9.35661570203527,4.41299214522813
"GM10499",46.8295011033536,32.7174822321531,39.9996954746314,33.0258555951109,40.0219145761441,38.1704074216473,48.7202526554138,66.4598443550929,57.3637184261159,64.2834616503085,53.9272974690643,18.9430552676433,36.0277634157983,64.4513699363467,102.922772722388,70.6078743236502
"GM10501",26.5789060316331,21.20577552084,36.9227958227367,49.3125789022888,30.1919706451613,48.0947133512756,33.8564467605418,10.9113177299406,45.0714930490911,28.1945007238195,40.2169676040479,37.8861105352866,77.2023501767105,24.9489173947148,2.33915392550882,27.3605513004144
"GM10509",17.7192706877554,12.1175860119085,9.84607888606311,13.1198604418934,13.340638192048,12.2145303749271,11.5607379182338,9.91937975449147,2.73160563933885,11.2778002895278,14.6243518560174,55.5662954517538,14.1537641990636,14.553535146917,51.461386361194,16.7693701518669
"GM10516",165.801747149711,140.563997738139,178.460179809894,150.652190591396,153.066269782446,158.02548672562,130.47118507721,154.742324170067,167.99374681934,143.228063677003,199.256794038238,197.007774783491,208.446345477118,172.563345313444,105.261926647897,178.284882667217
"GM10521",111.378272894463,124.811135922658,99.0761687910101,100.434793727597,110.235799797449,21.3754281561225,39.6368157196587,26.782325337127,30.0476620327274,18.0444804632445,8.22619791900981,16.4173145652909,3.86011750883553,12.4744586973574,2.33915392550882,6.17818900331939
"GM10524",193.646315373327,209.028358705422,234.459753474378,192.273816820851,188.173212393098,197.722710444133,178.365670738464,188.468215335338,188.480789114381,198.489285095689,211.139079921252,142.704349682913,222.600109676182,201.670415607278,138.01008160502,232.123386839
"GM10532",2.53132438396506,3.02939650297714,3.07689965189472,4.97649878830438,1.40427770442611,9.16089778119534,3.30306797663823,3.96775190179659,12.2922253770248,7.89446020266946,1.82804398200218,1.26287035117622,5.14682334511404,20.7907644955957,2.33915392550882,4.41299214522813
"GM10535",34.1728791835283,20.5998962202445,12.3075986075789,20.8108131147274,11.9363604876219,6.10726518746356,4.95460196495734,7.93550380359318,6.82901409834714,7.89446020266946,9.1402199100109,1.26287035117622,5.14682334511404,2.07907644955957,2.33915392550882,10.5911811485475
"GM10544",29.1102304155982,16.3587411160765,21.5382975632631,26.6921298645417,29.4898317929483,26.7192851951531,23.1214758364676,23.8065114107795,13.6580281966943,25.938940665914,22.8505497750272,2.52574070235244,30.8809400706842,31.1861467433936,2.33915392550882,27.3605513004144
"GM10545",5.06264876793012,6.6646723065497,6.15379930378945,8.59577063434392,9.1278050787697,9.92430592962829,8.25766994159557,2.97581392634744,8.19481691801656,3.38334008685834,10.9682638920131,1.26287035117622,7.72023501767105,6.23722934867871,2.33915392550882,10.5911811485475
"GM10548",17.7192706877554,32.7174822321531,23.3844373543999,23.5252669992571,23.8727209752438,24.4290607498542,30.5533787839036,27.7742633125761,25.9502535737191,21.4278205501028,39.3029456130469,41.6747215888153,33.4543517432412,43.660605440751,2.33915392550882,37.951732448962
"GM10557",158.207773997816,186.004945282796,187.075498835199,156.53350734121,179.045407314329,230.549260826749,223.78285541724,192.435967237135,162.530535540662,184.955924748256,187.374508155223,190.693423027609,213.593168822233,243.25194459847,88.8878491693351,121.798583208297
"GM10561",162.004760573764,155.105100952429,183.383219252926,159.24796122574,160.789797156789,134.359834124198,129.64541808305,125.976122882042,81.9481691801656,127.439143271664,202.912882002242,611.229249969291,204.586227968283,226.619333001993,376.60378200692,183.58047324149
"GM10563",11.3909597278428,7.87643090774055,7.99993909492628,6.33372573056921,6.31924966991748,12.9779385233601,9.08343693575512,7.93550380359318,16.3896338360331,11.2778002895278,5.48413194600654,1.26287035117622,10.2936466902281,8.31630579823828,46.7830785101764,12.3563780066388
"GM10570",3.79698657594759,3.63527580357256,3.07689965189472,4.52408980754943,2.80855540885221,1.52681629686589,4.95460196495734,7.93550380359318,4.09740845900828,1.12778002895278,11.8822858830142,1.26287035117622,2.57341167255702,2.07907644955957,16.3740774785617,3.53039371618251
"GM10571",5.06264876793012,3.02939650297714,4.30765951265261,3.1668628652846,6.31924966991748,0.763408148432945,4.12883497079778,6.94356582814403,6.82901409834714,6.76668017371668,5.48413194600654,1.26287035117622,5.14682334511404,6.23722934867871,2.33915392550882,4.41299214522813
"GM10575",106.315624126533,110.875912008963,112.614527259347,120.340788880815,109.533660945236,83.974896327624,85.8797673925939,83.3227899377284,88.7771832785128,90.2224023162225,82.2619791900981,11.365833160586,86.2092910306601,60.2932170372275,51.461386361194,81.1990554721977
"GM10576",27.8445682236157,33.9292408333439,31.9997563797051,40.7168082679449,41.4261922805702,41.987448163812,31.3791457780632,35.7097671161693,49.1689015080994,30.4500607817251,35.6468576490425,50.5148140470489,33.4543517432412,43.660605440751,30.4090010316146,23.8301575842319
"GM10593",102.518637550585,89.6701364881232,99.691548721389,88.219751247214,94.7887450487623,70.9969578042639,77.6220974509983,82.3308519622792,68.2901409834713,96.9890824899391,39.3029456130469,7.57722210705733,27.0208225618487,29.107070293834,2.33915392550882,30.0083465875513
"GM10600",86.0650290548121,52.1056198512067,38.7689356138735,45.6933070562493,40.7240534283571,19.0852037108236,27.2503108072654,44.6372088952116,42.3398874097522,46.238981187064,20.108483802024,1.26287035117622,15.4404700353421,2.07907644955957,2.33915392550882,0.882598429045627
"GM10601",16.4536084957729,19.3881376190537,12.9229785379578,6.78613471132415,4.91497196549138,4.58044889059767,16.5153398831911,12.8951936808389,19.121239475372,9.02224023162224,13.7103298650163,1.26287035117622,9.00694085394956,10.3953822477978,2.33915392550882,18.5345670099582
"GM10602",77.2053937109343,72.7055160714513,81.8455307403996,99.9823847468425,98.2994393098275,73.2871822495627,76.7963304568388,86.2986038640758,81.9481691801656,86.8390622293641,77.6918692350926,46.7262029935202,56.6150567962544,74.8467521841445,77.192079541791,49.4255120265551
"GM10603",46.8295011033536,44.2291889434662,50.4611542910735,47.0505339985141,47.0433030982746,35.1167748279155,36.3337477430205,41.6613949688642,49.1689015080994,42.8556411002057,61.239473397073,60.6177768564586,46.3214101060263,41.5815289911914,28.0698471061058,47.6603151684639
"GM10604",15.1879463037904,10.2999481101223,6.15379930378945,7.23854369207909,6.31924966991748,5.34385703903062,4.95460196495734,6.94356582814403,9.56061973768599,10.150020260575,7.31217592800872,5.05148140470489,12.8670583627851,6.23722934867871,4.67830785101764,11.4737795775931
"GM10608",5.06264876793012,3.63527580357256,2.46151972151578,0.904817961509887,4.21283311327832,3.81704074216473,4.95460196495734,0.991937975449147,1.36580281966943,2.25556005790556,6.39815393700763,1.26287035117622,2.57341167255702,12.4744586973574,2.33915392550882,6.17818900331939
"GM10614",54.4234742552488,46.0468268452525,45.5381148480419,42.5264441909647,47.7454419504877,24.4290607498542,22.295708842308,12.8951936808389,23.2186479343803,31.5778408106779,20.108483802024,18.9430552676433,21.8739992167347,29.107070293834,25.730693180597,21.182362297095
"GM10615",44.2981767193886,51.4997405506113,51.0765342214524,48.8601699215339,56.1711081770443,40.4606318669461,37.9852817313396,42.6533329443133,46.4372958687605,45.1112011581112,63.9815393700763,79.560832124102,36.0277634157983,31.1861467433936,35.0873088826323,45.012519881327
"GM10617",1.26566219198253,6.6646723065497,7.99993909492628,3.61927184603955,4.21283311327832,3.81704074216473,1.65153398831911,1.98387595089829,1.36580281966943,2.25556005790556,1.82804398200218,10.1029628094098,2.57341167255702,8.31630579823828,2.33915392550882,2.64779528713688
"GM10621",8.85963534387771,10.2999481101223,4.92303944303156,9.04817961509887,2.10641655663916,4.58044889059767,3.30306797663823,2.97581392634744,6.82901409834714,4.51112011581112,21.0225057930251,8.84009245823355,15.4404700353421,14.553535146917,2.33915392550882,17.6519685809125
"GM10631",7.59397315189518,10.2999481101223,7.99993909492628,5.88131674981426,7.02138852213054,6.87067333589651,3.30306797663823,8.92744177904232,9.56061973768599,4.51112011581112,3.65608796400436,5.05148140470489,2.57341167255702,8.31630579823828,21.0523853295794,8.82598429045627
"GM10638",44.2981767193886,44.8350682440616,54.1534338733471,76.9095267283404,63.8946355513879,35.8801829763484,40.4625827138183,51.5807747233557,20.4870422950414,30.4500607817251,42.9590335770512,5.05148140470489,42.4612925971908,39.5024525416318,28.0698471061058,49.4255120265551
"GM10639",1.26566219198253,2.42351720238171,7.38455916454734,7.23854369207909,5.61711081770443,8.3974896327624,4.12883497079778,5.95162785269488,4.09740845900828,3.38334008685834,12.7963078740153,22.731666321172,12.8670583627851,16.6326115964766,44.4439245846675,9.7085827195019
"GM10642",10.1252975358602,9.08818950893141,6.76917923416839,16.7391322879329,7.72352737434359,6.87067333589651,2.47730098247867,2.97581392634744,10.9264225573554,4.51112011581112,7.31217592800872,1.26287035117622,7.72023501767105,6.23722934867871,2.33915392550882,2.64779528713688
"GM10643",65.8144339830916,73.9172746726421,59.0764733163787,62.4324393441822,61.0860801425357,53.4385703903062,56.1521556028499,60.508216502398,57.3637184261159,43.9834211291584,103.284484983123,77.0350914217495,73.342232667875,126.823663423134,44.4439245846675,77.6686617560152
"GM10644",24.0475816476681,24.8410513244125,25.2305771455367,23.0728580185021,16.1491936009002,12.2145303749271,18.9926408656698,11.9032557053898,19.121239475372,19.1722604921973,21.0225057930251,35.3603698329342,45.0347042697478,16.6326115964766,2.33915392550882,18.5345670099582
"GM10647",11.3909597278428,13.3293446130994,6.76917923416839,10.8578155381186,12.638499339835,9.16089778119534,1.65153398831911,1.98387595089829,6.82901409834714,4.51112011581112,11.8822858830142,5.05148140470489,10.2936466902281,8.31630579823828,2.33915392550882,11.4737795775931
"GM10651",24.0475816476681,50.8938612500159,26.4613370062946,32.5734466143559,30.1919706451613,13.741346671793,39.6368157196587,10.9113177299406,54.6321127867771,50.7501013028751,88.6601331271057,1.26287035117622,14.1537641990636,70.6885992850254,2.33915392550882,20.2997638680494
"GM10653",27.8445682236157,9.08818950893141,18.4613979113683,13.5722694226483,21.7663044186047,9.16089778119534,9.90920392991468,10.9113177299406,21.8528451147108,10.150020260575,20.108483802024,41.6747215888153,15.4404700353421,12.4744586973574,2.33915392550882,11.4737795775931
"GM10654",3.79698657594759,6.6646723065497,9.23069895568417,10.4054065573637,8.42566622655665,6.87067333589651,9.08343693575512,7.93550380359318,10.9264225573554,10.150020260575,1.82804398200218,1.26287035117622,5.14682334511404,6.23722934867871,2.33915392550882,5.29559057427376
"GM10657",20.2505950717205,7.87643090774055,13.5383584683368,14.4770873841582,13.340638192048,15.2681629686589,9.90920392991468,11.9032557053898,8.19481691801656,7.89446020266946,31.9907696850381,11.365833160586,23.1607050530132,22.8698409451553,11.6957696275441,19.4171654390038
"GM10658",49.3608254873187,28.4763271279851,31.9997563797051,36.6451274411504,22.4684432708177,24.4290607498542,13.2122719065529,33.725891165271,25.9502535737191,20.3000405211501,15.5383738470185,10.1029628094098,21.8739992167347,22.8698409451553,44.4439245846675,22.0649607261407
"GM10660",46.8295011033536,61.7996886607336,41.2304553353893,59.7179854596525,60.3839412903226,94.6626104056852,75.9705634626792,115.064805152101,79.2165635408268,68.7945817661196,133.447210686159,107.343979849979,75.915644340432,97.7165931292998,58.4788481377205,92.6728350497908
"GM10676",24.0475816476681,50.2879819494205,44.922734917663,51.5746238060635,53.3625527681921,34.3533666794825,28.9018447955845,39.6775190179659,20.4870422950414,29.3222807527723,18.2804398200218,26.5202773747007,19.3005875441776,27.0279938442744,4.67830785101764,18.5345670099582
"GM10687",60.7517852151615,58.7702921577564,35.6920359619788,48.4077609407789,44.9368865416354,38.9338155700802,20.6441748539889,23.8065114107795,42.3398874097522,29.3222807527723,56.6693634420676,21.4687959699958,33.4543517432412,54.0559876885488,42.1047706591587,37.951732448962
"GM10689",3.79698657594759,5.45291370535884,13.5383584683368,9.50058859585381,4.21283311327832,7.63408148432945,11.5607379182338,7.93550380359318,1.36580281966943,9.02224023162224,7.31217592800872,7.57722210705733,6.43352918139255,16.6326115964766,51.461386361194,10.5911811485475
