"","X685.2_CTRL","X697.3_CTRL","X697.1_CTRL","X468.4_CTRL","X468.4_LPS","X685.2_LPS","X697.3_LPS","X697.1_LPS","X685.1_CTRL","X697.5_CTRL","X697.2_CTRL","X468.6_CTRL","X697.5_LPS","X697.2_LPS","X685.1_LPS","X468.6_LPS","Gene_name"
"PINK1",1168.15683617559,1228.34943039907,1379.81827814367,1901.71383898817,1601.11906340721,993.302367210524,1181.64260776815,1085.5157251018,1427.23885421737,1794.34012769526,1235.76373680468,1764.58990707258,1652.95384212884,906.404633003756,1154.7757665809,1555.1828586768,"PINK1"
"PINLYP",6.43258169700214,1.11012149154909,5.36000441010305,4.71109951855038,10.3298004090788,2.49364611015194,4.89630914821055,2.78813970488477,2.10042509818597,3.85051529548339,1.28904423171559,8.82294953536293,2.94119900734668,2.17363221343826,1.63565972603527,6.50363976446126,"PINLYP"
"PINX1",234.145973770878,224.244541292917,222.057325561412,217.234033355378,227.255608999733,312.536979139044,308.467476337264,288.572459455573,228.421229427724,184.824734183203,221.715607855081,176.458990707259,190.687735642977,217.363221343826,303.578445152145,192.670328022165,"PINX1"
"PIP4K2A",766.763738282655,1385.43162145327,920.389328706267,1060.5208471759,888.362835180774,719.832510463861,1011.90389063018,695.176166417936,1013.45510987473,1222.53860631598,1317.40320481333,723.48186189976,1054.91004396834,1043.34346245037,1021.63306488163,924.329801524056,"PIP4K2A"
"PIP4K2B",1859.01611043362,1943.26767095669,1927.30444288991,1969.23959875406,1750.90116933885,1995.74810349161,2028.70409040857,1987.47891963203,1827.89494169634,1661.49735000108,1830.01312762557,1217.56703588008,1415.20692236831,1254.18578715388,1461.29839923991,1428.3618832698,"PIP4K2B"
"PIP4K2C",1410.02190798287,1558.05551338915,1453.32691005366,1833.14116821816,1709.58196770254,1598.4271566074,1508.06321764885,1452.15609629415,1759.10601973075,2808.95090805513,2059.89268228151,2585.12421386134,2450.50897295434,1884.53912905097,1732.49078181655,2380.33215379282,"PIP4K2C"
"PIP5K1A",1547.67915629871,1648.5304149504,1326.98394895837,1600.20346980094,1859.36407363418,1796.25641467945,2035.23250260618,1795.56196994579,1757.53070090711,2011.89424189007,1665.44514737654,2143.97673709319,2875.02202968138,2645.31040375437,2517.60745031348,2649.4202490474,"PIP5K1A"
"PIP5K1B",15.4381960728051,32.7485840006982,9.95429390447709,41.8764401648922,46.4841018408545,32.4173994319753,32.6420609880703,19.5169779341934,12.0774443145693,48.1314411935424,24.4918404025962,35.2917981414517,54.4121816359136,39.1253798418888,23.5535000549078,26.014559057845,"PIP5K1B"
"PIP5K1C",1916.90934570664,2489.44744479884,1964.82447376063,2543.9937400172,2303.54549122457,1871.06579798401,2784.3678022824,1749.55766481519,1812.66685973449,2986.07461164737,2785.62458473739,1826.35055382013,2815.70784969989,2293.18198517737,1583.31861480214,1919.38668548663,"PIP5K1C"
"PIP5KL1",9.00561437580299,3.33036447464728,9.18857898874809,4.18764401648922,20.6596008181575,6.64972296040518,8.16051524701758,4.18220955732715,3.67574392182545,3.85051529548339,3.43745128457491,8.82294953536293,6.37259784925114,2.17363221343826,2.61705556165643,8.12954970557657,"PIP5KL1"
"PIR",259.876300558886,177.619438647855,278.720229325359,250.735185487292,273.739710840587,196.998042702004,181.16343848379,160.782722981688,202.1659157004,231.030917729004,152.10721934244,238.219637454799,175.491540771685,152.154254940678,149.82643090483,231.692166608932,"PIR"
"PIRA2",1.28651633940043,4.44048596619637,1.53142983145801,7.85183253091729,15.4947006136182,2.49364611015194,1.63210304940352,0.929379901628256,4.20085019637194,11.5515458864502,28.358973097743,8.82294953536293,9.31379685659783,17.3890577075061,4.25271528769169,0.812954970557657,"PIRA2"
"PIRB",106.780856170235,103.79635945984,111.028662780706,510.892570011685,531.984721067557,99.7458444060778,99.5582860136145,88.2910906546843,309.81270198243,924.123670916014,1005.02481932759,185.281940242621,654.906978969195,834.674769960293,263.014083946471,99.9934613785918,"PIRB"
"PIRT",9.00561437580299,1.66518223732364,1.53142983145801,0.523455502061153,5.16490020453938,8.31215370050648,8.16051524701758,4.18220955732715,3.15063764727895,7.70103059096678,3.43745128457491,8.82294953536293,2.4509991727889,13.0417932806296,3.59845139727759,1.62590994111531,"PIRT"
