"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sorbs2",1366.19442211753,-2.09647471179035,0.313565633956428,-6.68591989925042,2.29478526225015e-11,2.35671504400703e-09
"Pvt1",330.192162340283,-0.947253090038804,0.141975322042894,-6.67195591747005,2.52416398254038e-11,2.5757726856229e-09
"Cpa6",170.999684620779,-2.79501553105311,0.419139232648019,-6.66846554400285,2.58491719082279e-11,2.62107331102354e-09
"4930526I15Rik",151.33415532479,1.24331002426655,0.186480951052905,6.6672226693751,2.60689431048507e-11,2.62673294014347e-09
"Il17rc",205.56561623216,-1.0708433709551,0.160766867567946,-6.66084615042043,2.72255527982498e-11,2.72612863362975e-09
"Brpf3",942.437887443878,-0.516720525507397,0.0776133902191957,-6.65762085702061,2.78295545178885e-11,2.76929995609373e-09
"Grasp",170.650862503624,-2.09482730247396,0.31482989905877,-6.65383849734968,2.85546003516115e-11,2.82390896440227e-09
"Vps13d",3257.59665623051,0.610759918731244,0.0918538394127021,6.64925845926898,2.94573328669771e-11,2.89531245314013e-09
"Garnl3",151.865126462782,-1.59181614119922,0.239648462347045,-6.64229649382871,3.0883291553777e-11,3.01622118448672e-09
"Rarg",1222.14483252011,-1.05231333068148,0.158446639398582,-6.64143673021885,3.10640094526128e-11,3.01622118448672e-09
"Got1l1",284.483083246624,4.21023083730912,0.634901126752126,6.63131731840957,3.32704126141464e-11,3.21099566560988e-09
"Nt5c3b",291.728403026303,-1.04113644878378,0.157137822814638,-6.62562602774458,3.45779573405452e-11,3.31720631468787e-09
"Frmd4b",1051.19397477788,2.70596425023378,0.40867375741794,6.62133107672598,3.55978664549372e-11,3.37463561227544e-09
"Qsox1",7247.37511554087,-1.23672453135472,0.18676386318625,-6.62186201471643,3.54702090928518e-11,3.37463561227544e-09
"Fam43a",418.201704033946,-1.75327919236448,0.264935395963184,-6.61776123190469,3.64679410785401e-11,3.43678167070171e-09
"Insig1",2516.49072450252,-1.34614119276357,0.203488631558615,-6.61531399790171,3.70763905322236e-11,3.47368919717401e-09
"Pcdh9",690.654452623671,-1.50709385631897,0.227930895403374,-6.61206482627919,3.78995951736149e-11,3.53017101323537e-09
"Filip1l",4004.14827866959,-1.46075132609887,0.221650925737212,-6.59032359662114,4.38868965475024e-11,4.06423103807824e-09
"Pramef12",37.4039759340699,2.61262180649313,0.397320329328738,6.57560566031718,4.84555194083713e-11,4.46152802552596e-09
"Pde10a",413.170903286303,-1.17208680443844,0.178271881336001,-6.57471495591239,4.87464608331229e-11,4.46266885147121e-09
"Plxnb2",14132.3167743205,0.372300375626077,0.056712945201551,6.56464541389916,5.21568245853215e-11,4.74775276523543e-09
"Vsig10l",120.49349650578,-1.32908130370171,0.202929990782103,-6.54945727134448,5.77465600387576e-11,5.22687931288664e-09
"Lama2",1385.62857848102,-2.47716312737061,0.378420321419621,-6.54606263764506,5.90738115083313e-11,5.31697491109537e-09
"Rab13",384.354821688115,-0.993981103168289,0.152121235108294,-6.53413773863115,6.39770471058622e-11,5.72612442281016e-09
"Lmod1",1204.80587014218,-2.15792699391474,0.330465366151565,-6.52996415038853,6.57854355940561e-11,5.84266458806016e-09
"Ptk2",2538.881942176,-0.609746487341563,0.093383948533877,-6.52945711671599,6.60085069870101e-11,5.84266458806016e-09
"Dock1",1533.92612065888,-0.828649316468865,0.126989187655953,-6.5253533136529,6.78414234226602e-11,5.97190903656286e-09
"Sh2d5",200.208412225371,2.15271627243018,0.330106802306794,6.52127207736088,6.97135949781567e-11,6.10317762374344e-09
"5033406O09Rik",115.299287710328,3.48905620565319,0.535720256779312,6.51283232526802,7.37468179577601e-11,6.42118353533301e-09
"Nid1",27071.2249580735,-1.75275991863876,0.270471022991566,-6.48039815597332,9.1480886629823e-11,7.92224478214267e-09
"Nim1k",75.6781960093492,-1.19310953918072,0.184148343786528,-6.47906744447194,9.22912461237886e-11,7.94945190402805e-09
"Slpi",69.2646861388141,4.42808490733425,0.683567763134532,6.47790189377723,9.3006790739484e-11,7.9682448900389e-09
"Sez6l",275.509193021334,3.44598744686444,0.532069763086128,6.47657071673631,9.38306512680326e-11,7.99606842534655e-09
"Nek8",171.490535917529,-1.11554916219592,0.172265560010329,-6.47575268166797,9.43404651160682e-11,7.99697667526205e-09
"Ston2",226.67855864079,1.34205810402861,0.207415030695921,6.47039946683576,9.77441671503492e-11,8.24189106271444e-09
"Prkcb",1112.429612891,2.81104415880545,0.434998860709,6.46218740486759,1.03200177448964e-10,8.65638765921384e-09
"Plce1",842.012849469513,2.29842766167995,0.355719796396475,6.46134312726918,1.03777702526884e-10,8.65949256345422e-09
"Pacsin3",315.798254962054,-1.8177228835142,0.281476440138114,-6.45781537745143,1.06225218853117e-10,8.81779394427872e-09
"Slc1a6",461.647340494059,-2.47595200961612,0.384059923370286,-6.44678566794632,1.14247171906016e-10,9.43481412941379e-09
"Cyp20a1",841.064125809093,-0.507910058904212,0.0788061724499666,-6.44505427828867,1.15559052604852e-10,9.49421323990944e-09
"10-Sep",399.606254306218,-1.07872311375194,0.16740210857713,-6.44390398018744,1.16438767173932e-10,9.51768106578347e-09
"Myo1b",1237.92646771824,-1.51597579647074,0.235945786629821,-6.42510221574409,1.31780936058717e-10,1.07170679015061e-08
"Htatsf1",928.959406935866,-0.636327701600919,0.0991122637042015,-6.4202721017454,1.36030976554183e-10,1.10068296736089e-08
"Wt1",1478.12759923005,1.66189980207971,0.259362995398418,6.40762110079271,1.47807676234035e-10,1.18996320650526e-08
"Tmem163",25.8124915119276,4.33994729354874,0.67808304358551,6.40031827163873,1.550533991307e-10,1.24205525373647e-08
"Pard6g",556.396693423725,-0.885450163493729,0.138795184182747,-6.37954528975503,1.77614554527368e-10,1.41570287466814e-08
"Spint1",730.289777353551,2.83642546905811,0.444799512526627,6.3768628093726,1.80752238109573e-10,1.4335800033433e-08
"Arhgef19",295.438411015881,-1.79527713898907,0.282420723301574,-6.35674718909363,2.06070720332425e-10,1.62633448790433e-08
"Tnfrsf23",2704.18114012857,1.49385472681609,0.235222523568814,6.35081498213354,2.14177182019662e-10,1.68202580055735e-08
"Gch1",1213.75768798113,2.62029779584361,0.412853174849448,6.34680306576092,2.19835246446767e-10,1.71803926015788e-08
"Glipr2",1435.41679267259,-2.65008408128184,0.417753395121146,-6.34365659796332,2.24374671483841e-10,1.74500320963234e-08
