"","gene","baseMean_I","log2FoldChange_I","lfcSE_I","stat_I","pvalue_I","padj_I","abs_LFC_I","baseMean_II","log2FoldChange_II","lfcSE_II","stat_II","pvalue_II","padj_II","abs_LFC_II","baseMean_III","log2FoldChange_III","lfcSE_III","stat_III","pvalue_III","padj_III"
"27","Casp4",837.368488634813,3.90007480166959,0.537264653065546,7.25913156470724,3.89583410131918e-13,4.7612658195408e-11,3.90007480166959,837.368488634813,4.3683166415518,0.538190372069412,8.11667556362083,4.79127403333558e-16,4.95142990661771e-14,4.3683166415518,837.368488634813,1.41914301474303,0.546212038938366,2.59815403831324,0.00937264383415564,0.0400851913686619
"28","Ccdc141",245.236268614242,-0.757685630514856,0.174650805998358,-4.3382887710348,1.43596402883282e-05,0.000548695039205869,0.757685630514856,245.236268614242,-0.606823336177381,0.179855678835483,-3.37394593324158,0.000740989200590866,0.00760494922475535,0.606823336177381,245.236268614242,-0.560906169720718,0.175152712858582,-3.2023835689807,0.00136295384304886,0.00920956706853049
"29","Ccl3",13771.7708446445,5.65602148218465,0.646199315356108,8.75275065722985,2.08214388026387e-18,4.6468019727802e-16,5.65602148218465,13771.7708446445,6.19644900401984,0.645525140312205,9.59908238588966,8.06592900989786e-22,1.54802985595157e-19,6.19644900401984,13771.7708446445,2.27699369760861,0.647865003603475,3.51461135413057,0.000440397991081213,0.00373708485969921
"30","Ccl4",8383.81267021937,5.35063684375718,0.657532987980643,8.13744244252989,4.03715210684223e-16,6.9851803700296e-14,5.35063684375718,8383.81267021937,6.12662387496243,0.656639218023829,9.33027407866477,1.05597486858087e-20,1.71485677009759e-18,6.12662387496243,8383.81267021937,2.20264984010937,0.660010411209116,3.33729559822274,0.000845979218318291,0.00635503084924876
"31","Ccl5",3017.61263200728,8.79234590094984,0.699781204521576,12.5644213421836,3.3128996156818e-36,2.5507670590942e-33,8.79234590094984,3017.61263200728,8.74179857754997,0.685469930838517,12.7530008017366,2.99971997415798e-37,1.92738529470029e-34,8.74179857754997,3017.61263200728,1.98389732052928,0.734517765455746,2.70095212645856,0.00691412899873049,0.0319963202451361
"32","Ccl8",88.1301713582011,4.05755884032699,0.50754569056391,7.99447008567609,1.30132348835539e-15,2.15473982765426e-13,4.05755884032699,88.1301713582011,4.01870529547551,0.484172451325838,8.30015273374364,1.03977634860526e-16,1.15532442704425e-14,4.01870529547551,88.1301713582011,1.42492286173294,0.549668100762287,2.59233319116907,0.00953273975194666,0.0405964974922747
"33","Cd28",579.651003649666,-2.67856100851132,0.804826780672179,-3.32812112225469,0.000874338436741567,0.0175540255376576,2.67856100851132,579.651003649666,-2.31015758677869,0.79262206713316,-2.91457641992522,0.00356171595568219,0.0267726543199753,2.31015758677869,579.651003649666,2.39532242952227,0.792503057855944,3.02247720785158,0.00250714962302724,0.0147078154926838
"34","Cd300lb",559.1792255155,-3.60114327192652,0.713654276543866,-5.04606136372697,4.5101060922544e-07,2.27782661665209e-05,3.60114327192652,559.1792255155,-4.75074174068587,0.698421828461248,-6.80210948038756,1.03098198306135e-11,6.48334116837471e-10,4.75074174068587,559.1792255155,2.11046526460604,0.693737736351877,3.04216587049774,0.00234882424102281,0.0139475586232122
"35","Cd69",1323.87552571522,8.26615948219625,0.873514544696936,9.46310457264817,2.98933194999339e-21,8.85244667268234e-19,8.26615948219625,1323.87552571522,8.96382383045955,0.77832127854073,11.5168685189563,1.08482229347238e-30,3.9101228909597e-28,8.96382383045955,1323.87552571522,2.6942826782236,0.927435336893408,2.9050895205789,0.00367148074544076,0.0197650514189202
"36","Cd74",24.5946803997864,3.90809354910162,0.59484070947039,6.56998333651567,5.03208930454525e-11,4.81299026091257e-09,3.90809354910162,24.5946803997864,2.50889655579601,0.511177245455806,4.9080755806313,9.1974411978582e-07,2.43148096640337e-05,2.50889655579601,24.5946803997864,1.872958774821,0.640265874152004,2.92528284019764,0.0034414327588777,0.0187343507407338
"37","Cd86",186.289762724377,2.41907904629057,0.76673328114373,3.1550463580791,0.00160472605106668,0.0281769400916486,2.41907904629057,186.289762724377,2.55972026040163,0.75393967150699,3.39512610509699,0.000685969970696386,0.00716433468059158,2.55972026040163,186.289762724377,2.47453481074841,0.769221282961713,3.21693492569625,0.00129567983288114,0.00884828925941551
"38","Cdc37",5279.41713673017,0.469177696691349,0.0986819318786139,4.75444377465646,1.98993509619549e-06,9.06597945157231e-05,0.469177696691349,5279.41713673017,0.365315961760406,0.0996869906530526,3.66463025282647,0.00024769615918761,0.00312859302604658,0.365315961760406,5279.41713673017,-0.27697520248728,0.0996321874228275,-2.77997713040094,0.00543627268044269,0.026400280270801
"39","Cebpa",502.656443664183,-2.2194100402534,0.608873373283098,-3.64510937354043,0.000267278106419332,0.0067632366684785,2.2194100402534,502.656443664183,-2.76155326325216,0.597448825812488,-4.62224234769672,3.79614155781215e-06,8.63067383713046e-05,2.76155326325216,502.656443664183,2.31604501349068,0.596692802066707,3.88146966993539,0.000103827102630562,0.00115756020267518
"40","Cebpb",871.189292078005,1.16272577003793,0.288802303862571,4.02602664344126,5.67272641245577e-05,0.00177798388599304,1.16272577003793,871.189292078005,1.03006072446835,0.28936723646949,3.55970059719238,0.000371277842330795,0.00436842671493988,1.03006072446835,871.189292078005,0.728573415615187,0.290437045577762,2.50854161584603,0.0121230687071332,0.0485709054605517
"41","Celf5",179.90912106717,-0.529071861154961,0.147676848983898,-3.58263238141442,0.000340149140228809,0.00824875056753295,0.529071861154961,179.90912106717,-0.710067848838098,0.156901428144349,-4.52556651163708,6.02339334174331e-06,0.000130327535584601,0.710067848838098,179.90912106717,-0.585673692961715,0.149240812150694,-3.92435342934436,8.69629861328154e-05,0.00100594512695584
