"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002274","GO:0002274","myeloid leukocyte activation",94,0.524792939133485,1.49673703709731,0.00272040302267003,0.0342584026206111,0.0294331816655561,881,"tags=46%, list=23%, signal=36%","Tnf/Ccl5/Ubd/Csf2/Batf2/Cx3cl1/Slc7a2/Tlr2/Il15/Stx11/Camp/Lcp2/Lbp/Batf/Trex1/Tslp/Relb/Tlr1/Nmi/Il13ra2/Plscr1/Jak2/Tlr3/Nr4a3/Mfhas1/Ifi35/Ctsc/Plscr2/Casp1/Il1rl1/Adora2b/Foxf1/Syk/Myd88/Il18rap/Rbpj/Il18/C5ar1/Milr1/Itgb8/Spi1/Bcl10/Ifngr1"
"GO:0009620","GO:0009620","response to fungus",21,0.698697476570039,1.71014715402124,0.00274756725815684,0.0344932563984566,0.0296349568033149,364,"tags=43%, list=9%, signal=39%","Cxcl1/Clec4e/Zbp1/Tlr2/Ptx3/Camp/Tslp/Malt1/Clec4a1"
"GO:0031397","GO:0031397","negative regulation of protein ubiquitination",20,0.70251493459993,1.70685234134607,0.00276115968706857,0.0344932563984566,0.0296349568033149,319,"tags=25%, list=8%, signal=23%","Gbp4/Isg15/Tnfaip3/Dtx3l/Parp10"
"GO:0003321","GO:0003321","positive regulation of blood pressure by epinephrine-norepinephrine",3,-0.9070364663585,-1.69737734891974,0.00275896664158515,0.0344932563984566,0.0296349568033149,366,"tags=100%, list=9%, signal=91%","Adra1a/Adra1d"
"GO:2000311","GO:2000311","regulation of AMPA receptor activity",3,-0.9070364663585,-1.69737734891974,0.00275896664158515,0.0344932563984566,0.0296349568033149,366,"tags=100%, list=9%, signal=91%","Mef2c/Shisa9"
"GO:0021537","GO:0021537","telencephalon development",51,-0.367953090242652,-1.76637308341948,0.00280112044817927,0.0348583877995643,0.0299486602465144,706,"tags=37%, list=18%, signal=31%","Pou3f3/Lrp6/Dclk2/Slit1/Lhx6/Ski/Foxp2/Slitrk5/Dixdc1/Nr2f1/Bmp4/Bcl11b/Sema6b/Dlx2/Rtn4rl1/Hes1/Id4/Ephb3/Cxcr4"
"GO:0000165","GO:0000165","MAPK cascade",237,0.455604088364516,1.33674194801848,0.0027997200279972,0.0348583877995643,0.0299486602465144,911,"tags=34%, list=23%, signal=28%","Il1b/Ccl22/Tnf/Ccl5/Il1a/C3/Ccl20/Traf1/Ccl3/Ccl4/Icam1/Ccl2/Cx3cl1/Dusp2/Tlr2/Ripk2/Zc3h12a/Lif/Nod2/Trim30a/Trim30d/Cd74/Ccl7/Ccl8/Fas/Ccl9/Lpar3/Chil1/Ccl17/Map3k8/Arhgap8/Ccr3/Lax1/Tnip1/Gadd45b/Il1rn/Pik3r5/Jak2/Daxx/Tlr3/Nfkb1/Edn1/Pdgfb/Kl/Bmp2/Pik3r6/Nox1/Mfhas1/Nod1/Il34/Zfp36/Ptprj/Trim12a/Cflar/Gpr55/Htr2a/Syk/Myc/Fcgr2b/Tnfsf11/Fgf1/Myd88/Eif2ak2/Grap/Zfp36l1/Ptprc/Il18/Traf3/Mapk11/Mapkapk2/Trim12c/Ptpn2/Dusp16/Stk40/Sfrp4/Spi1/Atf3/Cd44/Traf2/Trim5/Rasgrp1"
"GO:0010574","GO:0010574","regulation of vascular endothelial growth factor production",8,0.82611594020722,1.67488032271899,0.00285132382892057,0.035347709146313,0.0303690617535895,85,"tags=50%, list=2%, signal=49%","Il1b/Il1a/C3/Ccl2"
"GO:0098543","GO:0098543","detection of other organism",8,0.824693816354687,1.67199708667287,0.00285132382892057,0.035347709146313,0.0303690617535895,506,"tags=75%, list=13%, signal=65%","Pglyrp3/Tlr2/Nod2/Pglyrp2/Tlr1/Nod1"
"GO:0032735","GO:0032735","positive regulation of interleukin-12 production",16,0.73196886441337,1.71394870614004,0.002856802761576,0.0353481728365671,0.0303694601340872,836,"tags=75%, list=21%, signal=59%","Il12b/Il23a/Tnfsf4/Irf1/Tlr2/Nod2/Tlr3/Rel/Il23r/Syk/Mapk11/Rela"
