Ensembl,Gene_name,P8_4_Lps3,P8_4_Lps5,P8_4_Lps4,P7_4_Lps1,P7_4_Lps2,P4_5_Lps2,P4_5_Lps3,P4_5_Lps1,P7_4_Ctrl1,P7_4_Ctrl2,P8_4_Ctrl3,P8_4_Ctrl4,P8_4_Ctrl5,P4_5_Ctrl1,P4_5_Ctrl3,P4_5_Ctrl2
ENSMUSG00000022249,Ttc23l,0,1,0,0,2,0,0,2,0,1,1,2,0,1,0,5
ENSMUSG00000051036,Ttc24,0,0,0,0,0,0,0,0,0,1,0,1,0,2.999998,0,3
ENSMUSG00000006784,Ttc25,88.0812,121.34462,73.76441,43.91415,62.54867,43.36244168,52.4833,110.79572,73.61418,113.40159,125.44639,149.52874,89.905489,95.31558,85.8291,83.23338
ENSMUSG00000056832,Ttc26,591.78602,525.6993,498.1079,233.851,324.57564,182.80122,362.6028,389.436,234.78872,520.1329,561.7993,773.9831,511.05448,382.235,481.4507019,244.85
ENSMUSG00000024078,Ttc27,754,703,574,404,438,196,292,531,436,887,897,1225,776,537,444,341
ENSMUSG00000033209,Ttc28,3944.995605,3619.001882,2847.00212,2234.9981,2302.003424,1827.9964,580.0002,4954.002742,2248.99822,4627.0389,5444.0468,7177.004211,4659.00072,4262.999462,1059.995448,3059.003389
ENSMUSG00000037101,Ttc29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ENSMUSG00000040785,Ttc3,4582.80344,4532.23441,3673.09938,2983.46585,3680.949676,1429.000507,2553.76342,3486.60114,3946.17061,8310.226696,7151.39509,9714.08939,6292.794361,3592.62465,4355.19902,2496.158046
ENSMUSG00000075271,Ttc30a1,183.349,187.115,141.558,103.92,133.925,76.3219,163.437,144.095,154.664,295.23,265.586,364.249,253.827,177.221,305.352,108.94
ENSMUSG00000075272,Ttc30a2,8.24532,7.57103,23.8607,2.96935,0,8.96379,2.2358,14.9184,2.50064,14.4231,11.9623,13.2485,13.0483,20.207,34.0751,2.61544
ENSMUSG00000075273,Ttc30b,437.405,472.314,358.581,220.111,296.075,191.714,306.327,531.987,336.835,757.347,711.452,971.502,645.125,519.572,687.573,396.445
ENSMUSG00000066637,Ttc32,89,82,78,49,57,37,70,101,56,114,98,170,107,111,101,69
ENSMUSG00000022151,Ttc33,918.7843,937.7929,773.8757,540.9639,662.70724,529.9382,723.981,1238.77019,622.28755,1357.2583,1273.8007,1775.18128,1189.18599,1213.94686,1759.920493,874.47302
ENSMUSG00000046637,Ttc34,11,6,3,1,4,1.999998,35.99997,11,2.999996,4,10,11,6,22.4676,14.00004,17.00004
ENSMUSG00000039438,Ttc36,3,1,2,1,5,2,0,3,1,0,0,3,5,1,2,0
ENSMUSG00000033991,Ttc37,2338,2091,1688,1257,1625,1049,617,2313,1136,2507,2581,3193,2160,2194,1416,1599
ENSMUSG00000035944,Ttc38,492.871,460.8965,361.2197,288.68804,318.885004,179.41869,150.9374,442.16,442.537,813.3726,832.174,1101.19445,700.6883,466.02285,340.6626,360.5616
ENSMUSG00000028555,Ttc39a,95.02152,84.18877,67.56469663,72.27819,85.27588,23.63152,49,56.22983,73.71826,167.58482,149.1587,177.47961,130.66848,35.00916,74.05279,55.62647
ENSMUSG00000085873,Ttc39aos1,14.99997,16.99997,8,6,12,6,3,12,19.00003,39,39.99997,54,35,20.99996,42,17.99999
ENSMUSG00000038172,Ttc39b,2564.9288,2538.42371,1999.44591,1541.35187,1784.3509,1290.853007,1067.54333,3151.3431,1389.66541,2954.48788,2957.6281,4021.50954,2695.138701,3006.86128,1711.9024,2021.56535
ENSMUSG00000024424,Ttc39c,3110.0019,2821.9963,2231.9996,1467.997,1893.9981,184.00037,148.00003,439.00004,428.00004,829.00027,859.99954,1117.9996,712.99962,340.99988,228.00022,259.00007
ENSMUSG00000046196,Ttc39d,3,2,4,4,4,5,1,0,5,13,9,8,6,12,10,12.000024
ENSMUSG00000025413,Ttc4,1148.00442,960.00031,805.00049,547.99985,725.999743,422.99962,401,980.99951,696.00031,1478.00429,1349.997919,1858.00473,1219.003106,957.00011,958.00001,627.9995308
ENSMUSG00000006288,Ttc5,806,778,579,494,545,279,471,614,505,1108,1185,1579,1029,625,814,488
ENSMUSG00000046782,Ttc6,4,1,5,3,1,2,0,11.99999,0,0,0,2,1,3,0,8
ENSMUSG00000036918,Ttc7,503.94699,490.9999,356.99967,342.981485,382.9997,182.8146,110.000022,357.00011,394.99963,875.9505,826.88809,1102.9696,695.95098,378.964354,107.00003,246.000198
