"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gpr84",154.476632989217,5.32822452042959,0.569584203458535,9.35458618423127,8.39276038260838e-21,1.39357542622682e-18
"Irf7",1116.95633127904,4.85096029951313,0.518713546846814,9.35190593922488,8.60823082705224e-21,1.41347150180198e-18
"Ccl4",8383.81267021937,6.12662387496243,0.656639218023829,9.33027407866477,1.05597486858087e-20,1.71485677009759e-18
"Exoc3l4",268.712529610093,2.2527277584723,0.241879250723413,9.31343946094937,1.23758370605343e-20,1.98793608783234e-18
"Herc6",1310.4611704908,4.46557514934241,0.481827209838172,9.2680011800127,1.89666802717021e-20,3.01386667801306e-18
"Csf3",110.348906547681,6.91124083842601,0.746500684325737,9.25818419666749,2.07938197884518e-20,3.2690539237632e-18
"Slfn8",1186.7698925488,5.81305308474839,0.631855594580246,9.19997090254478,3.58046704124078e-20,5.56969915110065e-18
"Gm4841",546.757100340505,7.62032077013353,0.832841923377556,9.14978047602314,5.70493587884243e-20,8.78203566849307e-18
"Tnfaip2",15191.6444448731,2.97543605186877,0.325566448684797,9.13925886370893,6.2881783760978e-20,9.5800721692756e-18
"Ddx60",636.294951317004,5.47370218328977,0.599894613116405,9.12443963257865,7.21083273206772e-20,1.08736414402548e-17
"Gadd45b",1968.94639892863,2.29644128791088,0.253107588992856,9.07298472182788,1.15800527972522e-19,1.72858606300801e-17
"Tmem2",1442.35869446872,1.38107106999403,0.153034374585165,9.02458074362536,1.80384758202679e-19,2.66572595671918e-17
"Dtx3l",2282.35395272891,4.08760115592308,0.45314272051252,9.02056012573667,1.87130027735505e-19,2.73802727710425e-17
"Sdc4",6185.95640656486,2.27610329653827,0.256468150719919,8.87479903508148,7.00598030327037e-19,1.01504291099735e-16
"I830012O16Rik",1312.21502003062,6.06696759869955,0.684004079127692,8.86978277444884,7.32887256379979e-19,1.05151532764887e-16
"Tgtp1",296.81276511603,4.7191498517317,0.532303239264359,8.86552908874564,7.61416333624523e-19,1.08194332483685e-16
"Trim30d",892.518334532043,4.85640240042706,0.548913543073675,8.84729929094723,8.96626947925664e-19,1.26193838442338e-16
"Nod2",132.218430357694,5.23805886177734,0.59729221572476,8.7696754182899,1.7918205873827e-18,2.49806836229637e-16
"Parp9",2213.7130688329,3.66968122937624,0.419285419827047,8.75222713656478,2.09182842670661e-18,2.88906920466077e-16
"Arid5a",563.074135057302,2.78125399813626,0.317935456598808,8.74785727861057,2.17442032805425e-18,2.97533181555423e-16
"Fam26f",231.727458238826,6.76257148720155,0.773373536513914,8.74424992311574,2.24502027644665e-18,3.04375317847052e-16
"Cd40",1225.25498214934,6.0050193538519,0.687039274727833,8.74043096914767,2.32222838419898e-18,3.11980827833568e-16
"Stk40",1461.17828879582,1.68696536019188,0.193535052583103,8.71658822355972,2.86710570404063e-18,3.81712505354166e-16
"Rnd1",2498.41783170326,2.94947502333273,0.339837915850592,8.67906400599941,3.99039097555523e-18,5.26517837828171e-16
"Tgtp2",166.982505030165,7.27224685364906,0.840147329238141,8.65591855209925,4.88957719774688e-18,6.39452848038083e-16
"Psmd10",733.258205337363,1.10211439210334,0.127770455466795,8.62573736688097,6.3681008066927e-18,8.25506962467585e-16
"Egln3",513.073808534606,1.6847306608289,0.195879656147811,8.60084550872199,7.91309452830211e-18,1.01686705164564e-15
"Trex1",868.054558670592,3.45736243903348,0.402501133831165,8.58969614849265,8.71996211621997e-18,1.11089310477154e-15
"Cxcl16",3214.06219536201,2.93435828320924,0.342906934364044,8.55730225651838,1.15539323381258e-17,1.45935053070789e-15
"Bid",1322.08759995715,1.71733138655717,0.201102850810557,8.53956758760686,1.34725040477831e-17,1.68725987134015e-15
"Ifi35",902.57745164657,2.94558678166194,0.345808118538884,8.51798041673428,1.62359648221775e-17,2.01626124489193e-15
