"","P7_4_Ctrl1","P7_4_Ctrl2","P8_4_Ctrl3","P8_4_Ctrl4","P8_4_Ctrl5","P4_5_Ctrl1","P4_5_Ctrl3","P4_5_Ctrl2"
"Sema4f",36,68,73,98,57,229,142,110
"Adora1",4,10,7,21,6,33,33,22
"Sp6",28,42,46,97,45,154,145,102
"Pmp2",8,11,11,15,9,31,28,17
"Shroom3",45,105,147,214,123,497,478,294
"Acss3",31,66,72,84,60,188,186,133
"Crabp2",202,352,402,537,335,1123,1157,788
"Cbln2",3,3,4,7,2,17,17,12
"Spint2",43,105,72,138,57,350,370,249
"Slc35g1",73,190,134,186,113,381,375,265
"Celsr2",58,135,135,162,89,314,296,262
"Tbx20",6,21,19,24,13,68,59,45
"Cd59a",365,758,800,999,681,2345,2053,1640
"Dlg2",66,120,122,156,102,313,268,217
"Hand2",24,57,35,46,32,117,97,101
"Sh3rf2",19,55,49,66,31,146,115,115
"Tbx2",32,83,62,111,62,230,178,179
"Eps8l2",158,359,358,410,256,890,637,665
"Cyp26b1",53,144,109,143,91,330,244,270
"Fgf13",114,238,177,225,129,524,378,401
"Gpc5",5,1,3,11,2,10,13,11
"Amd-ps3",1,1,74,114,1,228,327,150
"Panx2",7,8,18,17,13,29,36,24
"Erbb3",36,62,66,109,61,223,334,146
"Rab39b",55,74,115,139,103,230,346,150
"Tex15",164,347,310,472,288,809,1020,575
"Itih2",148,314,313,442,308,672,845,541
"Ugp2",2424,5102,6006,8265,5581,12961,17116,9462
"Edil3",752,1383,1648,2244,1566,3924,4634,2399
"Shank1",15,16,29,49,30,92,116,63
"Acvr1c",3,7,11,14,6,27,33,10
"Ttc21a",5,10,15,13,9,32,41,14
"Hapln4",31,91,112,159,98,199,346,166
"Fam179a",1,1,5,5,3,7,14,5
"Rbm24",13,16,38,43,29,57,100,45
"Kcna2",2,3,1,2,1,19,25,10
"En2",1,2,3,3,3,55,72,26
"Wfdc1",1,2,2,2,1,19,24,9
"Chil1",1,1,2,2,1,16,22,10
"Hmgcll1",63,154,97,122,89,747,1022,521
"Hmgcs2",40,62,23,50,32,288,399,190
"Akr1b7",5,7,6,7,13,35,46,18
"Tnfrsf19",10,30,31,40,39,109,148,59
"Syt9",1,2,2,4,3,12,18,6
"Tmem178b",58,127,136,162,123,494,716,287
"Lrrn1",26,72,51,75,54,177,218,81
"Lgi4",15,34,31,32,18,72,108,44
"Rundc3b",8,22,18,19,16,39,54,22
"Slc1a3",64,122,63,87,56,203,295,146
"Cnga3",25,51,38,47,41,114,170,61
"Dnajc6",24,61,47,51,42,211,334,121
"Zfp536",2,11,5,7,6,55,101,29
"Arhgef38",1,2,2,2,5,7,12,5
"Naip1",1,7,7,8,13,30,46,23
"Pou4f1",1,3,2,3,4,6,10,5
"Tmem200c",3,3,5,9,7,19,31,6
"Meig1",3,3,2,8,11,17,30,7
"Smyd1",2,5,3,12,10,19,35,10
"Hoxa10",67,153,81,114,62,936,1599,679
"Il1rn",175,339,228,346,211,7215,12712,4333
"Axin2",13,29,45,65,30,150,273,120
"Emr4",2,2,4,4,3,13,23,10
"Grm4",7,10,25,28,14,57,131,55
"Scg5",6,10,13,16,8,27,59,25
"Lmo1",15,17,17,15,16,49,103,45
"Ces1g",3,4,5,4,6,70,217,57
"Sox10",3,5,5,5,4,129,390,110
"Spink5",11,16,37,43,19,793,2370,666
"Dach1",26,52,61,67,40,281,577,198
"Slitrk6",12,24,22,26,18,316,704,169
"Cyb5r2",12,33,43,57,36,133,268,94
"Serpine2",4184,8737,9072,13161,8250,34810,67469,23732
"Foxq1",1,4,9,13,7,46,113,31
"Hcn1",32,99,116,177,104,395,894,266
"Fxyd1",15,34,27,36,32,94,173,68
"Ppargc1a",34,67,58,103,51,253,583,217
"Rbp4",3,6,6,8,5,30,69,24
"Tgm5",4,15,13,17,13,24,63,21
"Anxa8",679,1608,1317,1713,1140,2716,6220,1878
"Nrn1",726,1527,1429,1970,1344,2654,6138,1965
"Stard10",56,128,118,183,122,298,682,198
"Nme5",17,23,27,45,22,53,107,38
"Art3",2,11,6,14,2,24,55,17
"Cyp4b1",28,42,39,56,27,76,136,56
"Syt7",13,20,21,29,14,38,71,30
"Cacnb2",68,136,105,166,108,290,496,191
"Ccdc65",16,32,43,52,30,83,153,60
"Olfr658",3,2,2,2,1,9,18,5
"Slc35f3",5,3,9,7,6,30,78,18
"Zfp711",4,6,7,7,6,24,55,15
"Plb1",21,37,28,45,29,128,307,77
"Rab17",9,12,9,17,8,73,182,39
"Kctd19",3,4,10,9,1,18,37,13
"Ttc18",7,14,20,17,8,32,61,18
"Hap1",19,22,23,43,14,56,87,66
"Tph2",6,11,9,18,8,24,31,20
"Il13ra2",5,10,11,12,5,30,35,24
"Rab26",12,25,28,28,15,88,110,62
"Lmx1b",27,79,30,40,27,283,363,228
"Mab21l1",18,67,39,46,19,215,247,171
"Cpne7",6,10,8,10,8,21,26,16
"Elmod1",12,34,20,21,17,93,128,69
"Irx3os",6,18,20,17,12,32,43,28
"Slc8a2",3,16,25,23,21,50,70,44
"Ip6k3",12,29,33,36,30,79,123,73
"Tmem255a",28,44,61,72,53,144,211,121
"Oxgr1",3,2,2,2,3,7,9,8
"Best3",3,4,3,4,4,8,13,11
"Glb1l2",12,15,14,19,9,33,50,46
"Olfml1",4,8,6,2,5,11,19,14
"Vtcn1",3,5,1,1,3,10,13,9
