"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Micall2",645.628796906865,1.85912986911151,0.25652801368062,7.24727815273285,4.25230134975855e-13,5.15599909330173e-11
"Cd44",8432.53010529505,2.12108474350459,0.294110576893085,7.21186149070606,5.51921008712711e-13,6.63986844778674e-11
"H2-Q4",994.040943912702,3.24337413305394,0.452452697914653,7.16842699358983,7.58643711761389e-13,9.01475724497897e-11
"Trim47",687.052937094426,1.17224053558236,0.163538113069067,7.16799597098984,7.6103541908388e-13,9.01475724497897e-11
"Ch25h",565.696591361938,4.27966531078119,0.598228798907193,7.15389382557144,8.43503174701442e-13,9.91534762383779e-11
"Mcc",1022.24093925646,1.70897485372638,0.239834757413468,7.12563463343291,1.03602205507693e-12,1.20861391107043e-10
"Oas1b",185.860578905321,3.95606164985452,0.562188623175485,7.03689382312466,1.96572525692338e-12,2.27595513017768e-10
"Rgs16",897.138279774554,3.35401668537154,0.476956407414945,7.0321241799643,2.03412634741968e-12,2.33757549432206e-10
"Tgtp2",166.982505030165,5.79164310494547,0.826069587185383,7.01108380551689,2.36479024231178e-12,2.69743740306364e-10
"Plk2",10579.62036923,1.89634351067284,0.2734092835951,6.93591485167415,4.03600653127594e-12,4.56988710111164e-10
"Ifi204",1640.49212725296,4.76424499796737,0.689026737858325,6.9144559074382,4.69662457852925e-12,5.27907459012934e-10
"Cish",308.446213379694,1.69935395542433,0.246040491751392,6.90680604370363,4.95686902415597e-12,5.53121928282448e-10
"Adtrp",30.765077466527,2.97313206736422,0.430587650855052,6.90482428248982,5.02656076545773e-12,5.56863375735853e-10
"Xaf1",536.720919364448,3.31465000082483,0.480163724153235,6.90316622037658,5.08560632913444e-12,5.59380370445295e-10
"Dtx3l",2282.35395272891,3.1076218634434,0.450327324178737,6.90080680560697,5.17080154474293e-12,5.64717538918414e-10
"H2-K2",169.939281068348,3.03558565198631,0.4403437606272,6.89367245186489,5.43701353663996e-12,5.89609658103654e-10
"Cd274",4499.77852435405,4.16429285253416,0.604190708546977,6.89234838210091,5.48787710940899e-12,5.90963773481042e-10
"Raph1",2466.22111969792,1.06993827238068,0.155533529165322,6.87914868339037,6.02112919089972e-12,6.43884502851839e-10
"Parp9",2213.7130688329,2.84865326141504,0.41724457710322,6.82729846650666,8.65285556692907e-12,9.18933261207867e-10
"Sdc4",6185.95640656486,1.72924405710614,0.256362649549676,6.74530420146507,1.52706739189698e-11,1.6106377238234e-09
"Smad9",173.644929648259,-1.56068294361652,0.232104572762212,-6.72405082348558,1.76740739147381e-11,1.85144941641532e-09
"Tnn",145.027164766618,5.28681420789916,0.786533931843664,6.7216606860262,1.79664954609271e-11,1.86936529461363e-09
"Fam26f",231.727458238826,5.0035966818421,0.744803480009592,6.71800926840146,1.84223978445103e-11,1.90393627119204e-09
"Zbtb7c",344.482142437812,2.04341289483656,0.304230855915496,6.7166523549608,1.85946878478608e-11,1.90893065446139e-09
