Gene_name,468-4_LPS,685-2_LPS-2,697-3_LPS-2,697-1_LPS-1,697-5_LPS,697-2_LPS,685-1_LPS,468-6_LPS,685-2_CTRL-3,697-3_CTRL-3,697-1_CTRL-3,468-4_CTRL,685-1_CTRL,697-5_CTRL,697-2_CTRL,468-6_CTRL
Polr3c,118,911,426,1292,1202,342,1957,657,603,1342,850,1077,1215,314,1653,53
Polr3d,175,954,517,1750,1857,357,2769,1117,497,1179,790,1430,1329,317,1463,96
Polr3e,167,1054,528,1935,1748,363,2891,1034,485,1119,803,1458,1429,410,1845,84
Polr3f,122,622,311,1193,961,269,1934,664,389,1011,766,979,1103,298,1342,54
Polr3g,19,172,93,338,152,23,222,85,131,236,218,311,215,69,335,8
Polr3gl,32,227,82,461,427,110,790,329,168,323,276,447,503,131,710,19
Polr3h,68,433,242,789,742,130,1264,564,287,649,445,714,758,184,880,41
Polr3k,101,851,390,1674,1488,332,2855,1062,598,1378,1126,1525,1810,413,2198,99
Polrmt,103,781,498,1398,1250,233,1714,713,553,1299,827,1131,1216,327,1579,63
Pom121,159,1265,689,2234,2199,472,3456,1273,687,1574,1073,1439,1845,487,2337,95
Pom121l12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pom121l2,0,10,5,43,3,1,8,0,14,43,32,9,3,0,6,0
Pomc,2,17,6,24,20,4,18,10,11,28,22,29,18,4,18,2
Pomgnt1,288,2055,1219,3500,2791,508,3728,1716,1114,3534,1833,2956,2008,644,2343,126
Pomgnt2,82,362,238,662,1080,146,1221,637,232,670,444,789,853,286,932,62
Pomk,78,644,339,1106,860,195,1592,631,523,1157,777,1089,1232,298,1377,78
Pomp,435,3018,1414,4413,5480,1184,6954,3060,1597,3826,2143,4561,3334,1131,4679,248
Pomt1,59,615,285,798,762,186,1231,416,412,856,610,825,888,246,1220,41
Pomt2,118,853,476,1632,958,237,1898,676,625,1444,1074,1092,1264,343,1484,64
Pon1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0
Pon2,470,1757,1225,3317,6686,1004,5240,3572,1021,3494,1946,4961,3009,1535,4307,320
Pon3,189,668,295,1063,2298,460,1503,1099,375,1091,704,1759,863,505,1710,78
Pop1,58,714,294,1299,675,182,1715,448,392,735,530,638,736,137,846,34
Pop4,122,822,410,1173,1131,245,1792,901,517,1227,815,1221,1072,294,1282,64
Pop5,28,279,148,342,414,68,681,287,195,435,262,479,496,144,736,26
Pop7,35,278,164,502,607,119,723,276,154,418,280,436,386,139,525,25
Popdc2,45,136,159,201,32,39,330,35,71,417,134,428,305,13,351,1
Popdc3,8,29,1,24,144,20,336,81,15,27,21,103,221,43,118,8
Por,483,2813,1241,4615,7478,1436,8162,3305,2047,4058,3314,6697,5796,3659,13473,353
Porcn,27,98,63,196,98,24,197,86,87,207,148,184,160,31,168,4
Postn,749,2483,3128,12585,855,891,3356,652,2106,10367,6498,6963,1469,185,3671,82
Pot1a,55,456,175,776,366,87,834,335,283,629,533,622,624,136,763,25
Pot1b,29,128,88,359,167,82,400,83,132,279,300,238,313,58,393,6
Poteg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
