"","Gene_name","P4_5_1","P4_5_2","P4_5_3","P7_4_1","P7_4_2","P8_4_3","P8_4_4","P8_4_5"
"108","1700010I14Rik",16.3994392767548,-7.41122552216449,-8.69354864204971,3.90548447978897,-5.76463079697575,17.344760499465,18.5835201438831,5.99786371446461
"109","1700010K23Rik",0.124761159891058,-0.538880710800587,-2.81838280952756,-6.8929887580869,-0.0659492773091639,-0.778028048429618,1.0762835743326,-6.45826236662588
"110","1700012B09Rik",-1.08273164270389,1.07302327805256,-0.278168952876423,1.46594344735632,2.17158148566749,13.0777007603504,7.70461157029666,14.849794178291
"111","1700013F07Rik",-2.01743506735378,-1.61190398885315,-3.44503181816103,2.93188689471265,3.73728367073955,1.88277661684574,-11.5524199374296,-1.10256336273387
"112","1700014D04Rik",-1.55008335502883,-0.454882568320048,-0.365288966815683,1.46594344735632,-0.167957144476148,3.66381767612169,1.0762835743326,3.43612303031612
"113","1700016D06Rik",-0.264363508868712,0.326516282824933,1.41072913408681,4.69825222512966,9.12424809878923,-7.12416423710383,-16.6039013421345,6.84082249867678
"114","1700016H13Rik",1.97090095102789,2.60092912442517,0.174240027878521,0.200281255373793,-1.90161647402436,-1.97734089198979,1.0762835743326,-5.57840263187293
"115","1700017B05Rik",-488.8623380591,-507.315987755376,-534.901346464538,-417.440286720902,-411.845624493891,46.6969919993832,-109.030226232416,-2.2937771779284
"116","1700018A04Rik",-0.786675206595888,-1.2806495624796,0.261360041817781,1.66622470273012,-0.689857872833501,-5.64115856811148,-14.2647474166257,0.756904181223776
"117","1700019B03Rik",-4.15963129459861,2.84818540831818,-2.54021385665114,-1.06538093660874,6.07682230088318,1.88277661684574,1.0762835743326,0.69405705731285
"118","1700019D03Rik",-3.27146198627461,5.24148824831631,-0.556337905752845,-0.464537170487358,4.2591843990969,3.16948245312424,16.1874907017181,2.96476960098418
"119","1700019G17Rik",27.1421133402182,1.41547884260039,15.3407049884303,13.4021295577352,21.7580413489392,-4.34011016698154,5.62488016516277,-14.273215285922
"120","1700019L03Rik",5.24197926449054,-38.8519671663596,23.5865639491888,2.82900940369657,-35.5181913911703,21.051605870141,12.885804235189,-11.8890611963356
"121","1700020A23Rik",-0.264363508868712,2.22530655503705,-2.12142269801348,-0.264255915113562,4.00724868238268,7.82197057524083,1.0762835743326,-3.84462933573714
"122","1700020I14Rik",-311.024536475207,-440.048022530526,-396.562929589984,-659.361861798466,-434.460058708527,-240.605853572901,-1084.46960685786,-272.768329619511
"123","1700020L24Rik",7.19200737923354,-17.5771620230694,9.31876603285481,14.5314851540837,1.38588364807348,-40.9424305160699,154.584384290353,18.2654484238223
"124","1700021F05Rik",10.4121468054261,-48.3726225376348,26.8987683196984,-19.7275569681518,41.735452210531,-4.2397122130215,-64.240404953915,-50.3530846441991
"125","1700021J08Rik",-7.1964121501777,-12.5243474849857,-4.62494327390128,-14.0502334312874,-26.1847084802217,-3.95468178397958,37.8997489652137,9.6798978518391
"126","1700021K19Rik",-446.195264579801,-374.144788161249,-422.085859935649,-397.629010305038,-339.4366432355,-396.296405423368,319.128089348239,-24.4636776774651
"127","1700022I11Rik",5.76467463502968,4.8706038224768,8.73639284010516,4.39783034206897,3.5693265262634,6.83330012924594,12.7720532018767,-1.00829267686748
"128","1700022N22Rik",-1.3470951515726,-3.18417797824033,-11.239913415993,1.40196878761655,-0.317884994023384,4.06358862397508,-65.8558450380071,-10.3684775205666
