"","x"
"691","Lgi4"
"692","Pabpc1l2b-ps"
"693","Syt9"
"694","Dpm1"
"695","Ptpn22"
"696","Myct1"
"697","Gabrb2"
"698","Car11"
"699","Nrap"
"700","Gipc2"
"701","Acvr1c"
"702","1700008F21Rik"
"703","Dmrta1"
"704","Tgtp1"
"705","Slc12a5"
"706","Chd3os"
"707","Rhd"
"708","Ttc18"
"709","Bbs4"
"710","Gm26512"
"711","Gm14399"
"712","Gprc5c"
"713","Gm12655"
"714","Pm20d2"
"715","Msx1"
"716","Zfp853"
"717","Kcnk2"
"718","mt-Nd6"
"719","Caps2"
"720","Cd200r2"
"721","Igf2"
"722","Gm26688"
"723","Nap1l5"
"724","Adcy5"
"725","Nudt11"
"726","Igsf1"
"727","Gm4524"
"728","Tmem132c"
"729","Dmp1"
"730","Bche"
"731","Cyp2j9"
"732","Dmrtc1a"
"733","mt-Te"
"734","Smyd1"
"735","Gsc"
"736","Gria4"
"737","Camsap3"
"738","Ctsh"
"739","mt-Nd5"
"740","Pcdh10"
"741","9430065F17Rik"
"742","Rapgef4"
"743","Klhdc8a"
"744","Zfp712"
"745","Gm11520"
"746","Tmem25"
"747","Ly6c1"
"748","Gm16550"
"749","Trdn"
"750","Arxes1"
"751","Cilp2"
"752","Gm26543"
"753","Ttll11"
"754","Hoxa9"
"755","Cox6a2"
"756","9530051G07Rik"
"757","Tacr1"
"758","B230118H07Rik"
"759","Igf2os"
"760","1700008I05Rik"
"761","Slc2a6"
"762","Sod3"
"763","Nos2"
"764","Mybl1"
"765","Pou4f3"
"766","Ankrd29"
"767","Zfp652os"
"768","Ccdc158"
"769","Gm14197"
"770","Ncald"
"771","Cdsn"
"772","Olfr31"
"773","F5"
"774","Myrf"
"775","Samd15"
"776","Myoz2"
"777","Vtcn1"
"778","Esr2"
"779","Irs3"
"780","Hoxd9"
"781","Mansc1"
"782","Fam204a"
"783","Mmp24"
"784","Tmem117"
"785","Gbp5"
"786","Art4"
"787","E130102H24Rik"
"788","Bhlha15"
"789","Muc15"
"790","Atg9b"
"791","Tmem179"
"792","Clu"
"793","Abra"
"794","Mmp16"
"795","Klf15"
"796","1700029J07Rik"
"797","Tmem151a"
"798","A830018L16Rik"
"799","Olfr1310"
"800","Sytl3"
"801","Serpina3n"
"802","Gm21750"
"803","Zfp879"
"804","Kirrel3"
"805","Kndc1"
"806","Krt80"
"807","Gm15697"
"808","Ptprt"
"809","Abca4"
"810","Arhgef26"
"811","Tfap2b"
"812","Otos"
"813","Rnf152"
"814","Lef1"
"815","Kif5c"
"816","Olfml1"
"817","Rcan1"
"818","Popdc3"
"819","Tgfb2"
"820","Endod1"
"821","Fgfr3"
"822","Vamp7"
"823","Cx3cl1"
"824","Rbm11"
"825","Sall1"
"826","Arl4a"
"827","Ifnlr1"
"828","Dtx1"
"829","F630040L22Rik"
"830","Lipg"
"831","Cwf19l2"
"832","4930480K23Rik"
"833","Mlana"
"834","Ldoc1"
"835","Mt3"
"836","Dnah12"
"837","Gm16998"
"838","Igfbp5"
"839","Adamtsl3"
"840","Gm9936"
"841","Slc9a2"
"842","Ccdc103"
"843","Hs3st4"
"844","Ccl20"
"845","Gm16880"
"846","Col23a1"
"847","Dgkg"
"848","Ndp"
"849","Rnase1"
"850","Megf9"
"851","Pla2g2e"
"852","Tnfaip8l3"
"853","2010001A14Rik"
"854","Plcd4"
"855","mt-Nd4"
"856","Myom3"
"857","Murc"
"858","Aspa"
"859","Ttyh1"
"860","Bmp15"
"861","Hist2h2ac"
"862","C1galt1"
"863","Clec2g"
"864","Crisp2"
"865","Pgrmc1"
"866","Gm14308"
"867","Mir196a-1"
"868","Ascl1"
"869","Mdga2"
"870","Podxl2"
"871","Prss37"
"872","Gsta1"
"873","1810010H24Rik"
"874","Gm1045"
"875","Gm11512"
"876","Spef2"
"877","Lctl"
"878","Asic1"
"879","Gfra3"
"880","Wnt11"
"881","Best3"
"882","Meig1"
"883","Slc25a35"
"884","3110009E18Rik"
"885","Gm12843"
"886","Gm15893"
"887","Odf3l1"
"888","4933427G23Rik"
"889","D030062O11Rik"
"890","Nalcn"
"891","Gm8979"
"892","Spns2"
"893","Grhl1"
"894","Gm15411"
"895","Satb1"
"896","Elfn1"
"897","Olfr212"
"898","Lrrc4"
"899","Dgki"
"900","Gm4924"
"901","Fgf5"
"902","Fgf16"
"903","Cacna1h"
"904","Tspyl5"
"905","Fundc1"
"906","Ppapdc3"
"907","Steap4"
"908","Zim1"
"909","4930433N12Rik"
"910","Fndc9"
"911","Tmem132b"
"912","Upk3bl"
"913","Fam161b"
"914","Pgpep1l"
"915","Ranbp3l"
"916","Colq"
"917","Pttg1"
"918","Erbb4"
"919","Sec61g"
"920","Car6"
"921","Gclc"
"922","Bhmt"
"923","Tenm1"
"924","Lrrc3b"
"925","Rxrg"
"926","Ccdc113"
"927","1700088E04Rik"
"928","Heph"
"929","Spock2"
"930","Meiob"
"931","Fbxo7"
"932","Procr"
"933","Plin4"
"934","Sema3c"
"935","Slc16a8"
"936","Cd34"
"937","2610027K06Rik"
"938","Bmp8b"
"939","Kcnh5"
"940","Gprin3"
"941","Tlr4"
"942","Scn4b"
"943","Tnn"
"944","Oxgr1"
"945","Frmpd4"
"946","Grik3"
"947","Cetn2"
"948","Sema3g"
"949","Gm5127"
"950","Fzd10"
"951","Fam19a5"
"952","H2-Aa"
"953","Gm13830"
"954","Chrna1"
"955","Gm10222"
"956","mt-Nd4l"
"957","Gbp6"
"958","Slc45a1"
"959","Syn2"
"960","C030039L03Rik"
"961","Gyltl1b"
"962","Esyt3"
"963","Nlgn1"
"964","Tbx5"
"965","Pak6"
"966","Gm12608"
"967","Bmp8a"
"968","Apod"
"969","Psma8"
"970","Apob"
"971","Ntng1"
"972","mt-Co1"
"973","Ces2e"
"974","4933438K21Rik"
"975","Ppp1r1a"
"976","6430571L13Rik"
"977","Lrfn5"
"978","Gm3604"
"979","Ccdc142os"
"980","Gm11874"
"981","Pcdhb14"
"982","Fam179a"
"983","Nos1ap"
"984","Gm13341"
"985","Gm15270"
"986","Rsph4a"
"987","Slitrk3"
"988","Akr1c19"
"989","Cd24a"
"990","Rims3"
"991","Trav14-2"
"992","Cyp3a13"
"993","4933406M09Rik"
"994","Filip1"
"995","A230006K03Rik"
"996","Gm26708"
"997","Ncam2"
"998","Ankdd1b"
"999","Gpr179"
"1000","Gpc5"
"1001","Dio2"
"1002","Itga3"
"1003","Plch2"
"1004","Gm13340"
"1005","Sobp"
"1006","Gm27194"
"1007","4931440P22Rik"
"1008","Slc12a2"
"1009","Apoo-ps"
"1010","Col28a1"
"1011","Zfp964"
"1012","Camk2b"
"1013","A430105J06Rik"
"1014","Snhg11"
"1015","P4htm"
"1016","Mir1895"
"1017","Cyp2j8"
"1018","Ggt1"
"1019","Gja3"
"1020","Zfp114"
"1021","Gm25129"
"1022","Pex5l"
"1023","Gm15246"
"1024","Tmem200c"
"1025","Skp1a"
"1026","Gm17216"
"1027","A230072E10Rik"
"1028","Gm14290"
"1029","5730422E09Rik"
"1030","Tcp11"
"1031","Dnah2"
"1032","Fgf12"
"1033","Dlx2"
"1034","Sycp3"
"1035","Gm13594"
"1036","Tmsb15b1"
"1037","Synpo"
"1038","Ooep"
"1039","Iqck"
"1040","Nlrp10"
"1041","Hspa4l"
"1042","Fam219aos"
"1043","Kcnk1"
"1044","C630043F03Rik"
"1045","C030037D09Rik"
"1046","H2-Q6"
"1047","A630014C17Rik"
"1048","Cxcl14"
"1049","Gm14023"
"1050","Cntn1"
"1051","Arxes2"
"1052","Etnppl"
"1053","Gm5421"
"1054","Jakmip3"
"1055","4930451G09Rik"
"1056","Cd200r3"
"1057","mt-Ts1"
"1058","Styxl1"
"1059","Rab11fip4"
"1060","Mr1"
"1061","Sntb1"
"1062","Wdr72"
"1063","Gm10044"
"1064","Rgs6"
"1065","Gpr174"
"1066","Col10a1"
"1067","Slc30a4"
"1068","A730017C20Rik"
"1069","Myo18b"
"1070","Pou4f1"
"1071","Plek2"
"1072","Sstr4"
"1073","Olfm3"
"1074","Slain1"
"1075","Cited4"
"1076","Serpinb8"
"1077","C130071C03Rik"
"1078","2700069I18Rik"
"1079","Tgm7"
"1080","Nts"
"1081","Olfr658"
"1082","Cdh12"
"1083","Zkscan4"
"1084","Mapk15"
"1085","Tmem181c-ps"
"1086","Ano7"
"1087","Gm13032"
"1088","Mkx"
"1089","Zfp2"
"1090","Slc16a12"
"1091","Ccdc63"
"1092","Myh1"
"1093","Myot"
"1094","Hsbp1l1"
"1095","Cnksr2"
"1096","Plvap"
"1097","Fut9"
"1098","Atp1b2"
"1099","Egfl6"
"1100","Snca"
"1101","Slc16a14"
"1102","Gm20603"
"1103","Kazald1"
"1104","Ribc1"
"1105","Frmpd1"
"1106","Gm26519"
"1107","Gm10974"
"1108","Gm9905"
"1109","Nudt10"
"1110","Zfp423"
"1111","Gm1661"
"1112","Caskin1"
"1113","Acrv1"
"1114","Dcx"
"1115","Rspo3"
"1116","Slc25a21"
"1117","Frrs1l"
"1118","Arhgef38"
"1119","Btla"
"1120","Ism1"
"1121","Dhx58os"
"1122","Gm13880"
"1123","mt-Nd2"
"1124","Ighm"
"1125","Grtp1"
"1126","AI118078"
"1127","Ppfibp2"
"1128","Ackr1"
"1129","Vmn2r79"
"1130","Fgfbp1"
"1131","Sphkap"
"1132","mt-Atp8"
"1133","Wfdc3"
"1134","Gm6169"
"1135","Kcnh7"
"1136","mt-Co2"
"1137","Efcab1"
"1138","Ugt2b36"
"1139","Zfp354b"
"1140","Gm6981"
"1141","Kdm4dl"
"1142","Catsperd"
"1143","Myo16"
"1144","Bcl11b"
"1145","Klhl31"
"1146","Pcdhb8"
"1147","Gpr75"
"1148","Gm13961"
"1149","2310014L17Rik"
"1150","Ptchd1"
"1151","Gm12057"
"1152","Olfr78"
"1153","Gm10561"
"1154","Faah"
"1155","Arhgef16"
"1156","Cables1"
"1157","Dusp27"
"1158","Kif26a"
"1159","Col2a1"
"1160","Usp29"
"1161","Chrm2"
"1162","Nmu"
"1163","9030612E09Rik"
"1164","Cxcl1"
"1165","Ina"
"1166","Fam71f2"
"1167","E530011L22Rik"
"1168","Snhg7os"
"1169","Gm15406"
"1170","Gm14455"
"1171","Cntnap3"
"1172","Tac1"
"1173","Gm16083"
"1174","Ptx3"
"1175","Hist1h2br"
"1176","Prnd"
"1177","Hs3st6"
"1178","Hnmt"
"1179","Mest"
"1180","Slfn4"
"1181","S1pr5"
"1182","Dnah7a"
"1183","Rcan2"
"1184","Scube1"
"1185","Gtf2a1l"
"1186","Cyp2ab1"
"1187","Fam26e"
"1188","Fbxo27"
"1189","Ttc34"
"1190","ENSMUSG00000099122"
"1191","Bai1"
"1192","Slc2a3"
"1193","Cacna2d2"
"1194","Arhgap36"
"1195","Gm5602"
"1196","Calr4"
"1197","Il1a"
"1198","Cckar"
"1199","C130079G13Rik"
"1200","Fam83c"
"1201","P2ry10"
"1202","A230083N12Rik"
"1203","Col14a1"
"1204","Pax8"
"1205","C1qtnf4"
"1206","Sec14l5"
"1207","Gm4076"
"1208","Fam46d"
"1209","Tex16"
"1210","Gdf5"
"1211","Itga8"
"1212","Gm6055"
"1213","Zmynd12"
"1214","Olfr1315-ps1"
"1215","Phospho1"
"1216","Gm26820"
"1217","Gm7008"
"1218","mt-Tl1"
"1219","Alpl"
"1220","Ccdc79"
"1221","Csn3"
"1222","1700020L24Rik"
"1223","Angptl6"
"1224","Nckap5"
"1225","Gm11250"
"1226","mt-Tk"
"1227","Gm17732"
"1228","Cyp2j6"
"1229","Gm9875"
"1230","Il1rapl1"
"1231","Gm11410"
"1232","Ntf3"
"1233","Palmd"
"1234","Trbc2"
"1235","ENSMUSG00000089855"
"1236","Gm26877"
"1237","Zbtb7c"
"1238","Lars2"
"1239","Rec8"
"1240","Mir6236"
"1241","4930506C21Rik"
"1242","Gm11407"
"1243","Colgalt2"
"1244","2610018G03Rik"
"1245","Foxa3"
"1246","Fam189a1"
"1247","Nkpd1"
"1248","Gm12043"
"1249","Gm26531"
"1250","Shc3"
"1251","Jam2"
"1252","Wipf3"
"1253","Gm14412"
"1254","Hhip"
"1255","Iqub"
"1256","Cfap54"
"1257","1500015O10Rik"
"1258","Cdh8"
"1259","Kcnc2"
"1260","Ccdc60"
"1261","Unc13c"
"1262","Rptoros"
"1263","Fam181b"
"1264","4930579K19Rik"
"1265","Gm26693"
"1266","Catsper3"
"1267","Gm11992"
"1268","Rsph1"
"1269","Col9a3"
"1270","Sh2d2a"
"1271","Gm10639"
"1272","Eya2"
"1273","Gm4943"
"1274","0610040J01Rik"
"1275","Il31ra"
"1276","Gm13481"
"1277","Dnah9"
"1278","Fam184b"
"1279","Epn3"
"1280","Hpcal4"
"1281","Pp2d1"
"1282","mt-Ti"
"1283","Ddo"
"1284","1700018A04Rik"
"1285","0610009E02Rik"
"1286","Dcc"
"1287","C87414"
"1288","Cnnm1"
"1289","Fam213a"
"1290","Efhd1"
"1291","Abca17"
"1292","Gpr50"
"1293","C030034L19Rik"
"1294","Gm16105"
"1295","Gm7467"
"1296","Gm12092"
"1297","Sgcd"
"1298","Fbxo44"
"1299","Amd1"
"1300","Ckmt2"
"1301","4930470G03Rik"
"1302","Sorcs1"
"1303","Dmd"
"1304","Gm5532"
"1305","Gm15729"
"1306","Sstr2"
"1307","Angptl7"
"1308","Gm16701"
"1309","3-Sep"
"1310","Alx3"
"1311","AA474408"
"1312","Stmn4"
"1313","Ccdc80"
"1314","Epha2"
"1315","Fam169b"
"1316","Gm13247"
"1317","Lcn2"
"1318","Arhgap20os"
"1319","Snx31"
"1320","Pgr"
"1321","Gm11532"
"1322","Ace"
"1323","Gm11611"
"1324","Eif2c5"
"1325","Lnx1"
"1326","Fam131c"
"1327","Gm12791"
"1328","Gm16741"
"1329","2900011O08Rik"
