"","x"
"772","5031439G07Rik"
"773","Col7a1"
"774","Eepd1"
"775","Spry3"
"776","Ndst3"
"777","9330159F19Rik"
"778","Mfng"
"779","Fam49a"
"780","Slc43a1"
"781","Trim59"
"782","Rgs16"
"783","Epsti1"
"784","Cdca5"
"785","Spn"
"786","Rnasel"
"787","Igfbp6"
"788","Lmnb1"
"789","Trpv2"
"790","Rad54l"
"791","Fam78a"
"792","Rnase10"
"793","Matn3"
"794","Foxs1"
"795","Aloxe3"
"796","Gsn"
"797","Cotl1"
"798","Ralgps2"
"799","Tril"
"800","Kif4"
"801","Gm10593"
"802","Egln3"
"803","Kif15"
"804","Cenpi"
"805","Emx2os"
"806","Prokr1"
"807","Entpd1"
"808","Rad51ap1"
"809","Icosl"
"810","Gm3892"
"811","4930404N11Rik"
"812","Npepl1"
"813","Cenpn"
"814","Zranb3"
"815","Mastl"
"816","Slc7a8"
"817","Blnk"
"818","Larp1b"
"819","Gm21982"
"820","Gm12454"
"821","Gm6984"
"822","Shank3"
"823","Fam109b"
"824","Arhgap10"
"825","Dner"
"826","Vcam1"
"827","Ppp1r3e"
"828","Syne2"
"829","Mis18bp1"
"830","Zwilch"
"831","Map4k1"
"832","Ldb2"
"833","Gsg2"
"834","Abhd15"
"835","Scml2"
"836","P2ry12"
"837","Pgap3"
"838","Mns1"
"839","Rtkn2"
"840","Efcab11"
"841","Plxdc1"
"842","Gpr116"
"843","Slc12a1"
"844","Fkbp5"
"845","Gm26740"
"846","Lag3"
"847","Zfp503"
"848","Csf2ra"
"849","Nrg1"
"850","Ckap2"
"851","Paqr4"
"852","Ly6e"
"853","Crmp1"
"854","Nptx2"
"855","Tubb4a"
"856","Pgbd5"
"857","Neil3"
"858","4931406P16Rik"
"859","Fgf11"
"860","Klhl33"
"861","Mmp9"
"862","Ehhadh"
"863","Cbx2"
"864","Krt19"
"865","Zfp811"
"866","Sh2d5"
"867","9930012K11Rik"
"868","Capn11"
"869","Twist2"
"870","Smpd5"
"871","Clec1a"
"872","E330013P04Rik"
"873","Ttyh3"
"874","Pdgfb"
"875","Tmem171"
"876","Fli1"
"877","Pde4a"
"878","Gmfg"
"879","Jakmip2"
"880","Cdca2"
"881","Aox3"
"882","Aunip"
"883","Mybl2"
"884","Opn3"
"885","Il6ra"
"886","Cpxm1"
"887","Zfp57"
"888","Sox11"
"889","Col4a1"
"890","Tuba1b"
"891","Slfn10-ps"
"892","Neurl1b"
"893","Bub1"
"894","Lama2"
"895","Ankle1"
"896","E2f8"
"897","Ecscr"
"898","Gapdh"
"899","Npl"
"900","Mtap7d3"
"901","AI504432"
"902","Gimap9"
"903","Grik1"
"904","Kcnk6"
"905","Fah"
"906","D930048N14Rik"
"907","Gm10108"
"908","Esco2"
"909","Sez6l2"
"910","Zyx"
"911","Lingo2"
"912","8430419K02Rik"
"913","Ebf2"
"914","Inpp5j"
"915","Hoxaas3"
"916","Mki67"
"917","Ccna2"
"918","Ptgs2os2"
"919","Oas1g"
"920","Ptger2"
"921","Mmp17"
"922","Sapcd2"
"923","Phf19"
"924","Slc15a2"
"925","Oas2"
"926","Cenpk"
"927","Hoxc8"
"928","C5ar2"
"929","Aspm"
"930","Xkr5"
"931","Gm16091"
"932","Hoxb5"
"933","Gpr88"
"934","Fhl2"
"935","Oacyl"
"936","Prim1"
"937","Adam19"
"938","Olfr1033"
"939","Gen1"
"940","Dut"
"941","Pla1a"
"942","Prrt2"
"943","Fbxo48"
"944","Depdc1b"
"945","Agt"
"946","Gm21451"
"947","Rhov"
"948","Ret"
"949","Kng1"
"950","Frmd4b"
"951","C330027C09Rik"
"952","Xlr"
"953","Gna15"
"954","Itgb3"
"955","Col4a2"
"956","Mmp27"
"957","Sepp1"
"958","Gm8113"
"959","Clec4a2"
"960","Efs"
"961","Kng2"
"962","B3gnt8"
"963","Slc9b2"
"964","Iqgap3"
"965","Rnf180"
"966","Vash2"
"967","Eya4"
"968","Gm10614"
"969","Cenpp"
"970","Casc5"
"971","Hhipl1"
"972","ENSMUSG00000082387"
"973","Chst12"
"974","Ttk"
"975","4933411K16Rik"
"976","Gdpd3"
"977","Fnip2"
"978","Hmha1"
"979","1-Sep"
"980","Ccrl2"
"981","Mir143hg"
"982","Pck1"
"983","Prss16"
"984","Slc17a6"
"985","Pfkfb1"
"986","C130074G19Rik"
"987","Iglon5"
"988","Nxph4"
"989","Nid1"
"990","Cebpa"
"991","Ctla2b"
"992","Sh2b2"
"993","Hic1"
"994","BC034090"
"995","Gjc1"
"996","Tshz3"
"997","Lncenc1"
"998","Lrfn1"
"999","4833403I15Rik"
"1000","Spink2"
"1001","Tnfaip8l1"
"1002","Gm2163"
"1003","Cenpw"
"1004","Greb1l"
"1005","Arhgap15"
"1006","Pola1"
"1007","Atp8b4"
"1008","C1qtnf6"
"1009","Camk1d"
"1010","Adra1a"
"1011","Foxd2"
"1012","Doc2g"
"1013","Adap2os"
"1014","Hp"
"1015","Rad54b"
"1016","Slc25a45"
"1017","Lce1f"
"1018","ENSMUSG00000098495"
"1019","Plk3"
"1020","ENSMUSG00000095375"
"1021","Tspyl3"
"1022","Ska1"
"1023","Man1c1"
"1024","Cdc42ep2"
"1025","Ube4bos3"
"1026","Kcns3"
"1027","Actb"
"1028","Lefty1"
"1029","Fancd2"
"1030","Gm15452"
"1031","Lrr1"
"1032","Tuba1c"
"1033","Slc16a13"
"1034","Cep128"
"1035","Gm16201"
