gene,log2FC,pvalue,adjusted_pvalue
Trim21,1.57932741747705,7.62259915460106e-10,7.7226457685052e-08
Srgap3,-0.60749673446428,8.064906164079051e-10,8.12459558258156e-08
St5,0.974660454336732,8.28910038194149e-10,8.30353645564038e-08
Foxp4,0.920435194335388,9.11135589106156e-10,9.07623390466585e-08
Zeb2,0.482851604144378,1.31054157360231e-09,1.29233176775517e-07
Zfp36l1,1.11872056923804,1.3118279959827502e-09,1.29233176775517e-07
Gp49a,2.98817488863858,1.5156044411146502e-09,1.4848759774459e-07
Rnf213,1.06298951014946,1.5719023482301402e-09,1.5316169820378e-07
Slfn8,1.29754662342684,1.6478470945573602e-09,1.59688921429632e-07
Rhog,0.782035107672972,1.65749098494557e-09,1.59755252716564e-07
Kat6b,-0.352338012305775,1.7831696167839202e-09,1.70944609875667e-07
Ninl,0.626120026583233,1.90694848756061e-09,1.81833146960927e-07
H2-Q10,2.95294472918562,2.2179097549646e-09,2.10359302344541e-07
AU020206,1.98231815604398,2.27965552620972e-09,2.15071627978019e-07
Ablim2,1.80607289894182,2.7515837259657e-09,2.58228891672076e-07
Plxnd1,1.25900470213642,3.0104927950668202e-09,2.81047628423228e-07
Cdc42se2,0.425485956632752,3.5942845539945804e-09,3.33800457720194e-07
Sertad2,0.558669618238502,3.79529636194638e-09,3.50642121398269e-07
Ifi203,2.46642499749233,4.1131294043965e-09,3.78047476339145e-07
Trim24,0.436725524905987,4.14470547301414e-09,3.78996119432385e-07
Ifit1,1.6149094969293,4.6906412763260605e-09,4.26728696929439e-07
Gm16098,2.28171382080314,5.080410720906111e-09,4.59841642459273e-07
Ifngr2,0.558437419272555,5.159851455848231e-09,4.64673289440555e-07
BC023105,3.20035570334233,5.5399898860972805e-09,4.9639979728141e-07
Arid5a,1.19428216323621,6.049824529607021e-09,5.39372105937114e-07
Arrdc4,0.911802894312973,6.923443691948241e-09,6.14188678960841e-07
Trim34a,0.831035405217442,6.97207875405245e-09,6.15441268631234e-07
Parp12,1.08429031749251,7.528714034740011e-09,6.6130295543571e-07
Helz2,0.976450215154071,8.42361402998076e-09,7.3628167533621e-07
Stxbp6,1.76397490347716,9.2408345749391e-09,8.03772299052386e-07
Ampd3,1.26636587070138,1.17875464034818e-08,1.02030941708973e-06
Igsf9,1.88416816243846,1.21016714071532e-08,1.04243914425579e-06
Fbrsl1,1.01801657056864,1.51251272688768e-08,1.29661607851607e-06
Rab8b,0.767208560423598,1.58084688077956e-08,1.34871199670719e-06
Zfp36,1.1753719955004,1.70595204251832e-08,1.44851575572115e-06
Ifngr1,0.639260540748694,1.77329444158258e-08,1.49855986672318e-06
Slitrk5,-0.623502577744481,1.98080198195243e-08,1.66602264812235e-06
Ccl9,1.59417412051939,2.22733463996044e-08,1.86458234578097e-06
Sp110,2.7991061285954,2.26452636884073e-08,1.88685839639248e-06
Gm4841,2.30057348588029,2.29089351462774e-08,1.89994987252685e-06
Rnf19b,0.743975103903875,2.41876007307164e-08,1.99670883624724e-06
Rsad2,1.92164556355903,2.94359059434642e-08,2.41876331280143e-06
Ch25h,2.04600184731613,4.51277238787015e-08,3.691158002207e-06
Arap3,1.55194209505719,4.79745207553131e-08,3.90608986113236e-06
Ankrd33b,2.87454384600811,5.25071528431147e-08,4.25570473793445e-06
Samd9l,0.915348163785764,5.36911622617931e-08,4.33197789271508e-06
Denr,0.58187435439735,5.43143745215613e-08,4.36252077519801e-06
Tsc22d1,0.546074187695237,5.55747262158082e-08,4.44373517109451e-06
Il4ra,0.584032808727229,5.61923118545071e-08,4.4730585387398e-06
Tmem74,1.10477547337025,5.74256996125807e-08,4.55092288796412e-06
Fgfr1op,0.647919025454577,5.82961725814623e-08,4.59946483761086e-06
