gene,log2FC,pvalue,adjusted_pvalue
Hspb6,-1.60518595987966,1.5551409376072802e-17,7.42886233108719e-15
Wisp2,-3.27724887259077,3.3080109948419804e-17,1.51421840423895e-14
Tpm2,-2.45217469460679,6.72670505134196e-17,2.99357060076527e-14
Abcg2,-0.881825368040217,8.39857061063297e-17,3.63658107440408e-14
Mcam,-2.61767842709454,1.01909855683506e-16,4.29657315238275e-14
Ckap4,-0.857993032412268,1.14106185671974e-16,4.6874235914120204e-14
Snai2,-1.92873254934271,1.18827814492346e-16,4.7593510399546905e-14
Loxl3,-1.54161054323492,1.48137273206582e-16,5.78855427815282e-14
Kdelr3,-1.01650705043429,1.81809788696156e-16,6.93517767785979e-14
5-Sep,-1.75667639798323,2.04191539454406e-16,7.60779686883498e-14
C1qtnf6,-2.28989215593683,2.20423572786066e-16,7.85338560559415e-14
Ms4a2,-2.03465837985356,2.2058694978574198e-16,7.85338560559415e-14
Astn2,-2.12556806125941,2.29091571383685e-16,7.978861011169621e-14
Ctnna2,-3.33735382896949,3.0312185022647397e-16,1.0332585452081599e-13
B4galt5,1.45937393436724,3.57673920363194e-16,1.19381122461224e-13
Tspan2,-1.65562226803156,4.04649640918748e-16,1.32303916268556e-13
Kcnmb1,-2.8231845102634,4.530472340744001e-16,1.45165394742119e-13
Fat4,-2.80287244127223,6.040576585636879e-16,1.89757014663703e-13
Fubp1,0.838247930908677,8.46049415292677e-16,2.60664570815461e-13
Myh11,-4.23381747992927,8.85671783067838e-16,2.67723540311884e-13
Apc2,-1.74123966475253,1.03918696023938e-15,3.08311375740651e-13
Calu,-0.627180403190837,1.19548701343332e-15,3.42016025753844e-13
Sepn1,-0.709421590319956,1.18743549244105e-15,3.42016025753844e-13
Diras2,-3.19592535680441,1.346093675153e-15,3.7834678543204e-13
Gas5,-0.695051798879796,1.6960210988975301e-15,4.68481965955816e-13
Map3k7cl,-4.78522239619105,2.8377744893755802e-15,7.70576018547223e-13
Osbpl6,-2.75084048443448,3.17377205582786e-15,8.47450035106969e-13
1110038B12Rik,-0.825374241231475,3.29661778043062e-15,8.65821532135721e-13
Tll1,-2.49436125174685,3.69736174471072e-15,9.55410201806619e-13
Kcne4,-2.96715730163998,4.06808328061184e-15,1.03452003553464e-12
Erv3,4.19189927545853,5.14520554211468e-15,1.27829210617321e-12
Mum1l1,-1.62256586015413,5.18625472200604e-15,1.27829210617321e-12
Sh3bgr,-2.39187793851691,5.86726810675136e-15,1.42423488391308e-12
Pfkl,-2.32826181138946,7.12065278640445e-15,1.7026862431490399e-12
Samd14,-1.64177687245511,1.07289685412603e-14,2.52777654411076e-12
Pdgfrb,-2.21664881019613,1.09055775541304e-14,2.53214866659018e-12
Txndc5,-0.699123508945443,1.69926511875821e-14,3.88913235251789e-12
Fam180a,3.52823026973794,2.29374702759867e-14,5.17579170833214e-12
Tlcd1,-1.39196377773408,2.48179692790208e-14,5.52234285859989e-12
Rspo2,-4.37332562700599,4.76885561393135e-14,1.04660049028485e-11
9130011E15Rik,0.617216702859119,5.6737150485483203e-14,1.22835930801071e-11
Esyt3,2.855110586397,6.541591423462231e-14,1.3973711492705099e-11
Adra1d,-2.50381746174834,7.34162719020009e-14,1.5476343317657298e-11
Sod3,-2.89854935498342,7.690510844863091e-14,1.6001256395526198e-11
Stox2,-1.17278967136496,9.41656120808425e-14,1.9341375271117697e-11
B4galt2,-1.00072208985651,1.12465706427814e-13,2.2794976878714698e-11
Kit,-4.44258898345232,1.13825488439996e-13,2.2794976878714698e-11
Rock2,-0.672553100595191,1.24539119588404e-13,2.46326078385904e-11
Ctnnd2,-2.179683463689,1.45170997134111e-13,2.83632261595804e-11
Myom1,-2.72356135092798,1.9594775383981e-13,3.78226381237059e-11
Enah,-1.24022767781261,2.0758470162791398e-13,3.95918393426286e-11
Bai2,1.93708273972907,2.18828239308608e-13,4.06854096244729e-11
Fam213a,1.37308235035012,2.20767392786803e-13,4.06854096244729e-11
Lamc2,1.64432511351495,2.20936935105745e-13,4.06854096244729e-11
Bdnf,-0.865085417384391,2.80004755972495e-13,5.09767749481288e-11
Podxl,3.9140576319777,2.84391064691583e-13,5.1193587049706093e-11
Mmp19,1.04486107822399,2.87999703423301e-13,5.1267147206052295e-11
Serpinb2,5.18388336622251,3.03453740858571e-13,5.3424531673573295e-11
Pcbp4,-0.992840176466067,3.34236931648808e-13,5.8204455238538593e-11
Anapc5,-0.643910976827823,3.68895544540211e-13,6.354919912987869e-11
Zc3hav1l,-2.44277508235194,4.00724661651269e-13,6.82979766416486e-11
Fads3,-1.05370308794805,4.21407577491198e-13,7.1067061041963e-11
Pde4a,-1.47607183564039,5.37833108298342e-13,8.97565023754972e-11
Galnt18,-2.57237384040221,6.47953847822453e-13,1.07019263875913e-10
Hmcn1,-3.10328922743494,6.62523506240268e-13,1.08309072382401e-10
Aqp5,4.20904927163551,6.71678823323929e-13,1.08696630590633e-10
Hdlbp,-0.667885136467967,7.28113986244359e-13,1.16651141736209e-10
Csrp2,-2.22575402794082,7.65126980141704e-13,1.21367320285646e-10
P4ha2,-1.45018039857773,8.51558000090282e-13,1.33753046269082e-10
Gpc4,-1.37495364127099,1.05974303161923e-12,1.64836340869628e-10
Serping1,2.61707371539046,1.0751923282449299e-12,1.6563131048857702e-10
Bcl11a,-2.49068744677869,1.11976408515386e-12,1.70854670554762e-10
Pnoc,4.41887575232033,1.34994303437335e-12,2.04032427865052e-10
Slc35g1,1.41533311729747,1.5331617008038599e-12,2.29558725313818e-10
Igsf10,-2.29084814966518,1.9255904793595697e-12,2.85647083979811e-10
Pde4d,-1.34466387096847,1.9832392828830098e-12,2.9149978487219005e-10
Utrn,-0.910931128357155,2.0744306964011998e-12,3.02131401700396e-10
Ly75,-1.8059852208024,2.15885178732637e-12,3.1159427463744004e-10
Map4,-0.491225517940586,2.3245842025095397e-12,3.32519317039333e-10
Vill,2.62564068851822,2.5147134071548197e-12,3.5653295129227803e-10
C1qtnf3,-2.45949876522906,2.65315046732599e-12,3.72860733658155e-10
Adamtsl3,-4.62245643560682,2.87036055929643e-12,3.99878665395548e-10
Pcdh19,-1.80150492518501,3.17179782834957e-12,4.34319427418705e-10
Snhg12,-0.904721897440064,3.15039202446103e-12,4.34319427418705e-10
Fam49a,1.53675583410145,3.22160163401242e-12,4.3740067608909403e-10
Mrc2,-1.77286048638889,3.37042484480535e-12,4.5376114654308e-10
Sos2,0.550115035608029,3.59502446658911e-12,4.79965724826868e-10
Chst7,-1.82408911386553,3.67704520991702e-12,4.86859019075046e-10
Xdh,1.81714224773345,4.12427401975856e-12,5.415983120537041e-10
Rpl39,-0.852800521237675,4.20848484163955e-12,5.48163704454531e-10
Nsg1,-4.0192364039799,4.64311419435077e-12,5.99897842803981e-10
Plcd1,-1.05227205215132,4.89954814562501e-12,6.27965286728466e-10
Pdia6,-0.586078845246745,5.1160741745687994e-12,6.50512891672751e-10
C2,2.55334945493627,5.24837280947974e-12,6.62080163627362e-10
Six1,-4.16638466410103,5.49705088347159e-12,6.880332203445181e-10
Igfbp7,-0.986032961588042,6.334908266408869e-12,7.86756320435167e-10
Tvp23a,-1.21560557967585,6.386468201683549e-12,7.87058515839786e-10
Bsg,-0.640779760617362,6.4808542303237896e-12,7.92593630717691e-10
Rab6b,2.65940971963027,6.80423314974132e-12,8.25838024939437e-10
Aldh1l2,-1.98014191079215,8.06449727078252e-12,9.71438426881253e-10
Slco2a1,2.08815946386601,8.24378134445205e-12,9.78396553639974e-10
Tmtc1,-2.84337171935919,8.24440014614547e-12,9.78396553639974e-10
Tle1,-0.944581145016054,8.38304155775369e-12,9.87534623505675e-10
