gene,log2FC,pvalue,adjusted_pvalue
Ifnar2,1.2836620650469,1.2014381596934802e-09,5.4462739644019e-08
Nub1,1.15763970311234,1.1989995581065902e-09,5.4462739644019e-08
Daam1,1.26373976244618,1.21628812424449e-09,5.49672963305353e-08
Notch1,2.21350349825108,1.36595499025307e-09,6.1355874911732e-08
Slc11a2,1.80707246087494,1.3655810575792701e-09,6.1355874911732e-08
Tlr3,3.26498206692076,1.38887159172404e-09,6.21961950984783e-08
Ccdc86,1.26837959311842,1.5811048582475e-09,7.05908386561377e-08
Cers6,1.80936472723823,1.6381236222838e-09,7.29162376208134e-08
Ptpn23,0.599870067944287,1.8223399299793602e-09,8.08724909466514e-08
Tspan14,-1.2237010015812,1.88199292458788e-09,8.32697348489811e-08
Ninl,1.19469584748182,1.92811682915749e-09,8.50558522426549e-08
Zcchc2,1.66341319366572,2.0133905008278e-09,8.85532286346226e-08
3-Mar,1.58020431595611,2.05356231811086e-09,9.00520591603631e-08
Dusp16,0.85824549982876,2.2078318057419e-09,9.65305870569641e-08
Gpr146,-1.39603055360532,2.22181993323326e-09,9.68556193903277e-08
Chek2,-0.991571331681692,2.31731407331653e-09,1.00538710502541e-07
Papd7,1.63437122824874,2.3199147571637902e-09,1.00538710502541e-07
Tank,1.45779882865244,2.5375247693253503e-09,1.09647780821901e-07
Ifi44,4.28933874670333,2.65198899073962e-09,1.14259747245336e-07
Casp9,-0.877608889875305,2.7445892444601403e-09,1.17905639112302e-07
Eif4e2,0.291196383174197,2.8272286583832e-09,1.2081875605692e-07
Mtdh,1.12200194709017,2.82875149517487e-09,1.2081875605692e-07
Arrb1,-2.22444658170129,2.8466348908991604e-09,1.21159355898725e-07
Vnn3,3.97927637550791,2.8531232814153704e-09,1.21159355898725e-07
Irf2,1.87029010790941,3.15468898527614e-09,1.3358164419602e-07
Spsb1,1.61983758046557,3.18925278512611e-09,1.34659364738839e-07
Olr1,1.64831420087083,3.62857455130151e-09,1.52772292647104e-07
Rasgrp3,-2.18627552447867,3.69779847850242e-09,1.55244505441218e-07
Lacc1,2.41000557404877,3.74792643744353e-09,1.56703565993901e-07
Slco5a1,1.53525094221849,3.75375980253357e-09,1.56703565993901e-07
Rbm7,0.883619793580879,3.81828861256345e-09,1.58948363708345e-07
Madcam1,3.78490301262835,4.27685506253544e-09,1.77537539646485e-07
Rnf31,1.8334107236194,4.39909052455652e-09,1.82100167428281e-07
Mast1,-1.79953412550427,4.6609873819334e-09,1.92402434441932e-07
Fam46a,3.16194721484204,5.093647396120931e-09,2.09676660779596e-07
Kpna3,2.1146208699797,5.25108026646624e-09,2.15556844938439e-07
G0s2,-2.29580337314747,5.4507770196778306e-09,2.23134578384485e-07
Armc2,-3.08429811820968,5.476502554833561e-09,2.23568383302018e-07
B3gnt8,-3.0205054482311,5.5213336059719106e-09,2.24777597876179e-07
Trim25,2.33203129499044,5.605709496299731e-09,2.27585645429444e-07
