gene,log2FC,pvalue,adjusted_pvalue
Ldb2,-1.64893958599951,1.90119214281874e-07,1.56684183089398e-06
Ikzf4,1.16347244451356,1.90400346206359e-07,1.56850601342377e-06
Ptprj,-0.554538330834236,1.92274623216691e-07,1.58328758344422e-06
Bag5,0.861571674459528,1.94085433328466e-07,1.59753446452076e-06
Gsg2,-1.33554894560877,1.94521300177073e-07,1.60045692925083e-06
Zfp106,0.206292642277074,1.95375035086116e-07,1.60681361912186e-06
Scmh1,0.560166275829332,1.95654834004153e-07,1.60844679643763e-06
Chmp2b,0.765665969889433,1.95939769134617e-07,1.61012082487218e-06
Por,-0.787266309502374,1.96390524370903e-07,1.61315551416067e-06
Abhd15,-2.05030264144531,1.96796757874403e-07,1.61582213637839e-06
Scml2,-1.92439346438133,1.97019802211468e-07,1.61698307625193e-06
Ppfia2,4.09369792074687,1.97318056723044e-07,1.61876006435093e-06
Ap4m1,-0.844530132628284,1.98308340565451e-07,1.62621050789159e-06
Mfsd8,0.888152454606958,1.98953647483571e-07,1.63082700114431e-06
ENSMUSG00000085180,0.648809830294836,1.99483055506391e-07,1.63449004189018e-06
A230046K03Rik,0.337966488872584,2.02285395905236e-07,1.6567659141883e-06
Wdr62,-0.764184866456513,2.02789739239288e-07,1.6602100024369e-06
Mpzl3,0.504817605539431,2.03928550424977e-07,1.66884339364308e-06
P2ry12,-3.70116655686737,2.04115643976097e-07,1.66968451602752e-06
Trnt1,0.588970951116383,2.04233989075295e-07,1.66996280745134e-06
Zdhhc21,0.41781134893532,2.04444266392776e-07,1.670992262337e-06
Fgfrl1,0.436452387154237,2.06685870125068e-07,1.68861673760596e-06
Lysmd4,0.374549603300616,2.07219698090278e-07,1.69227995916695e-06
Adcy9,0.882424413178828,2.08746800237361e-07,1.70391201739078e-06
Dpp3,-0.5232050688282,2.08816121299103e-07,1.70391201739078e-06
Gss,0.844647701382841,2.09140989475867e-07,1.70586003112853e-06
Atxn2l,-0.552727689472541,2.09276655813569e-07,1.70626385003373e-06
Zfyve26,-0.378250377598066,2.10129183616884e-07,1.71250961002007e-06
Pgap3,-1.48539731454041,2.11196086982206e-07,1.72049662961564e-06
Rcn1,-0.461552104965275,2.1133165112884e-07,1.72089309989949e-06
Cbln2,2.81994134897943,2.11418639646171e-07,1.72089385102868e-06
Mirg,-0.665260176684137,2.11982901249044e-07,1.72477788674448e-06
Frrs1,-0.89049766886294,2.12892706750641e-07,1.73146906139207e-06
Mns1,-1.03445856559271,2.14543327003068e-07,1.74417735959309e-06
Kank3,0.826226551204434,2.17605746565104e-07,1.76834805292381e-06
Anxa6,-0.946500479560284,2.1782414777129e-07,1.76939680986982e-06
Rtkn2,-1.6384910586791,2.18480204995271e-07,1.77399835167132e-06
Gnpnat1,0.755077070183781,2.2025153570195e-07,1.78764812009894e-06
Efcab11,-2.04132790179437,2.23826264388533e-07,1.81591779596498e-06
Chp1,0.830500594781247,2.26783043130783e-07,1.83915290178625e-06
Bcl11a,1.00589008243347,2.27228435393196e-07,1.84201061585217e-06
Per1,-0.741400807941742,2.27535610512892e-07,1.84374600269939e-06
Slc31a2,0.474179421808373,2.2887351455228e-07,1.85382866347377e-06
Wwp2,0.307133708887268,2.3091777056968e-07,1.86962204757234e-06
Yap1,-0.206009178509653,2.34216691424015e-07,1.89555674579534e-06
Rabggtb,0.789482141140692,2.34448467621863e-07,1.89665745620236e-06
Gm13135,3.76198555043731,2.35136031636599e-07,1.90082294973034e-06
Plxdc1,-3.02899915716461,2.35155333611358e-07,1.90082294973034e-06
Fbxo38,0.326481848200071,2.35264453775155e-07,1.90092910753291e-06
Nqo1,1.66032423557921,2.35562210353518e-07,1.90255873321414e-06
Gpr116,-2.76296852442765,2.37073274033539e-07,1.91398251894016e-06
Fbxl3,0.830009345746249,2.41778116110621e-07,1.95117107231244e-06
Ufsp2,0.528268307674324,2.43165703972551e-07,1.96156969510077e-06
Slc12a1,-2.58233690084201,2.43775151390575e-07,1.96568530054518e-06
Kctd2,0.602687445748093,2.44816741056634e-07,1.97328072441415e-06
Anxa2,-0.935461919067075,2.44968721866441e-07,1.97370242792636e-06
Proser1,-0.584133278374996,2.45911613134796e-07,1.9804935284756e-06
Klhl30,1.9454144835632,2.47341915286838e-07,1.99120296355306e-06
Nasp,-0.956502621717546,2.47811011650484e-07,1.99416874226988e-06
Fkbp5,-2.13042239113391,2.48787259354146e-07,2.00121156955707e-06
ENSMUSG00000097705,-3.10728369014331,2.49503864733074e-07,2.00616099763451e-06
R74862,0.576885960884109,2.51135538638896e-07,2.01846112305386e-06
Upf3a,-0.411010448140582,2.54837120976437e-07,2.04738107254254e-06
Gm15319,1.55352875723384,2.55164975358379e-07,2.04918376804434e-06
Mapk14,-0.616189403254872,2.62422798321644e-07,2.10661576731327e-06
Zfp503,-1.08875713997737,2.63489448730733e-07,2.11432133009054e-06
Lag3,-1.61903356034229,2.6458075484397e-07,2.12221841592952e-06
Txlna,-0.395004800293242,2.64958871622579e-07,2.12439088810265e-06
Nhlrc1,1.13223032823905,2.68815278865296e-07,2.15443860082895e-06
Zfp931,0.711295284733544,2.70964382942863e-07,2.17078423940148e-06
Csf2ra,-1.02296654101986,2.71116643793536e-07,2.17112576372309e-06
Pth1r,0.912405195449581,2.71740105603824e-07,2.17523890516497e-06
Stk10,-0.798008889309939,2.71906510088782e-07,2.17569152557504e-06
Car9,-0.898420500297959,2.72185366336314e-07,2.17704321281274e-06
Strn3,0.61919057041681,2.76023321495506e-07,2.20684935764917e-06
Nrg1,-1.35552958953627,2.7779360722353e-07,2.22010677863389e-06
Ckap2,-1.1918713396879,2.79257131441059e-07,2.23090287658682e-06
Zfp365,0.48170948722754,2.795080410042e-07,2.23200695324483e-06
Ly6e,-1.52921911988356,2.79650978258582e-07,2.23224827627286e-06
Paqr4,-1.20234657527027,2.79997145886846e-07,2.23411098998514e-06
Crmp1,-2.29639605496952,2.81430236635889e-07,2.24464132353489e-06
Fnbp1,-0.87370885768217,2.87425593392125e-07,2.29072143403993e-06
Lrrc8b,0.518820533380576,2.87439040779096e-07,2.29072143403993e-06
Tnfsf12,-0.539118571450169,2.88642774021594e-07,2.29938917808675e-06
Ndfip1,0.9026114243006,2.89464432766782e-07,2.30500748955101e-06
Nptx2,-1.86975624413239,2.89638028557419e-07,2.30546282859772e-06
Smim8,1.10157636846217,2.91756558363418e-07,2.32139288140986e-06
5530601H04Rik,1.47602917151959,2.92246985289448e-07,2.32436116332218e-06
Gnb2,-0.666067535500365,2.93367161050817e-07,2.33233370431569e-06
Art3,3.12963825073263,2.93913927297861e-07,2.33574294390323e-06
Fam174a,0.920505586636154,2.9540608015479e-07,2.34665945101703e-06
Slc10a3,0.608672331216497,2.96666951975374e-07,2.35573068040108e-06
1700030J22Rik,0.890316023587196,2.99330720180165e-07,2.37593009316553e-06
Tubb4a,-1.5823716222789,3.02246444472389e-07,2.39811241439551e-06
Pgbd5,-1.7447732719394,3.03285314669613e-07,2.40539141838887e-06
Kri1,-0.392756371860055,3.05031076402341e-07,2.41826878986067e-06
Pias1,0.644988700679686,3.09383546308258e-07,2.45179341780262e-06
Gm15417,0.808372038784502,3.11208139763149e-07,2.46526639994776e-06
Clic1,-0.43654634650688,3.12318624256842e-07,2.47307398431927e-06
Neil3,-2.45332693380151,3.15999181166791e-07,2.50121813901963e-06
Fut11,-0.689520429554982,3.1733788403148e-07,2.51081080917276e-06
Camkk1,-0.852579192949125,3.2031333742249e-07,2.53334078846446e-06
Lekr1,0.995062247945995,3.25105418300594e-07,2.57021465230537e-06
Tmem50b,0.379694374975329,3.27261764476888e-07,2.58622984185966e-06
Ifitm10,1.86328645911883,3.28062520766696e-07,2.59152379787142e-06
Ubap2l,-0.341314994992936,3.28194852339212e-07,2.59153542891777e-06
Mis18a,-0.775066994616392,3.32152840382985e-07,2.62174366319037e-06
Ttll7,0.662379008147216,3.32846186009225e-07,2.62616966841701e-06
Rqcd1,-0.430056802443921,3.33147998151827e-07,2.62750416383862e-06
Gm13509,-0.394989045102065,3.33774869546234e-07,2.63140028522835e-06
Egf,1.09859205440591,3.36337321536878e-07,2.65054688249755e-06
4931406P16Rik,-1.11013593515756,3.40190388610127e-07,2.67934497084627e-06
Med15,-0.623353617465433,3.40262199640394e-07,2.67934497084627e-06
Iscu,0.859257313495645,3.41085161453155e-07,2.68475776526959e-06
Tm2d1,0.942596898796219,3.42605364286233e-07,2.69565221864305e-06
Stk38l,1.35411777287405,3.42853278627596e-07,2.69653150513936e-06
ENSMUSG00000097095,0.496520786217321,3.46346051630508e-07,2.72292068538729e-06
Araf,0.4393030632726,3.51430567153428e-07,2.76179799678829e-06
Abca2,0.604235885959343,3.53865508079442e-07,2.77983043316354e-06
Krcc1,0.45531799224443,3.54538835982694e-07,2.78401550666189e-06
Akr1c14,1.67904247014673,3.54876169571987e-07,2.78555991367563e-06
Edc3,0.319435961659171,3.56572149479248e-07,2.79776341057331e-06
Fgf11,-1.41506111246852,3.59240967456132e-07,2.8175873740599e-06
Ankrd13c,0.306159147452265,3.61079780901645e-07,2.83088835351393e-06
Plagl2,-0.341752112853458,3.64147658920329e-07,2.85381093678599e-06
Gmfb,0.575649829265092,3.64543406956621e-07,2.85578229088961e-06
Klhl33,-3.37533751607007,3.65803242770937e-07,2.86451855272267e-06
Sap18,1.24917572386783,3.68066729966064e-07,2.88110415820076e-06
Mmp9,-2.30006640558198,3.68757368065035e-07,2.88536978157249e-06
2410089E03Rik,-0.324948301142153,3.72429203902196e-07,2.91294942894119e-06
Grb2,-0.3119524030245,3.76945174540801e-07,2.94710708117095e-06
Aacs,-0.668223848366424,3.7724106909125e-07,2.94825656364764e-06
Gm14964,1.94399061577355,3.79040873558229e-07,2.96115402759257e-06
Tet1,-0.790475546714684,3.86542244933385e-07,3.01856570136465e-06
Apoh,2.20808576690964,3.88351724049216e-07,3.03150080530969e-06
Ehhadh,-1.3485449776321,3.89715271305084e-07,3.03974841785187e-06
Xkr6,0.705446752718156,3.89702742263644e-07,3.03974841785187e-06
Abhd4,0.6511050115227,3.951568550435e-07,3.08097888081948e-06
Cbx2,-1.32292971925691,4.008099322475e-07,3.12382522559209e-06
Agpat4,0.272697582557765,4.0218931631723e-07,3.13334273027003e-06
Dnajc9,0.656400097871711,4.05367746493514e-07,3.15686309538245e-06
Krt19,-2.10547951881637,4.11633626604289e-07,3.20439950521672e-06
Slx4ip,0.507190654330802,4.1234855712255e-07,3.20870366414734e-06
