gene,log2FC,pvalue,adjusted_pvalue
Gad1os,1.78721351224271,0.0015665081403769,0.0102104548054669
Per2,-0.604876827044678,0.0015694583527011,0.0102262491188092
Ado,0.144253459331361,0.0015803095754496,0.0102934968116901
Tmem80,-0.24017762985667,0.0015853861672217,0.0103230983854937
Hmbs,-0.198277356191683,0.0015863545381269,0.0103259387647821
Dact3,-0.444494589376567,0.0015873029351963,0.0103286472684604
Il1rap,0.367371727971331,0.0015890175863655,0.0103328744121438
Wdr19,-0.296212381813984,0.001588514712206,0.0103328744121438
2810029C07Rik,-0.526116308447866,0.001602553074626,0.0104174002881217
Cbx8,-0.615584595502106,0.0016031555842415,0.0104178268441468
Tnfsf12,-0.281120572412395,0.0016140739553305,0.0104852664979024
Ccnyl1,0.297317092468469,0.0016158175366596,0.0104930801477056
Bcl9l,-0.681102972204516,0.0016189467979094,0.010506369119276
Gm26869,-0.3941843073616,0.0016185536757664,0.010506369119276
Gper1,-1.2756151897307,0.0016300722142888,0.0105750321785561
Lyar,0.255413248656906,0.0016359868833555,0.0106049554814269
Spint2,0.594920020345359,0.0016361843162501,0.0106049554814269
Zxdc,-0.300758631055202,0.0016363242997006,0.0106049554814269
Dnajc18,-0.176880988815353,0.001642713050683,0.0106428060218544
Ezr,0.67808415287,0.0016467889179706,0.0106637503124375
Nacc2,-0.227434751034581,0.0016470449230248,0.0106637503124375
Rbm12b1,-0.515128470255394,0.0016479240089969,0.0106658830789115
Ece2,0.299806040868375,0.0016496802680837,0.0106736898705891
Edem1,-0.171152168484528,0.0016507071565969,0.0106767738888688
Vmn2r55,0.646273459423433,0.0016545461722724,0.0106980386293815
Col22a1,1.54102941999513,0.0016554274263194,0.0107001711460034
Podnl1,-0.378366359192414,0.001658983703913,0.0107195870099
Fam216a,-0.245144970316983,0.0016672143890767,0.0107691837568726
Gstt2,-0.56734066042174,0.0016718736523443,0.0107956859734076
Nol4,0.840376652382031,0.00167595259557,0.0108184245390688
Marcks,0.266720544708731,0.0016774825753964,0.010824699665112
Cytip,-1.10424266955285,0.0016781750924967,0.0108255683160928
Tnfrsf13b,-1.06599278062588,0.0016794161472455,0.010826375721313
Wdr54,-0.441910531842946,0.0016791830932752,0.010826375721313
Ptpn23,0.337718200197066,0.0016855082320704,0.0108620397658899
Gm14964,-1.68430274773771,0.0017088288068354,0.0110086700424421
Kifc5b,-0.489875589425475,0.0017104781670276,0.0110132065900714
Rassf5,0.394524691287164,0.0017106681438092,0.0110132065900714
Gnaz,-0.725261440512496,0.0017210806382795,0.0110765667347183
Cenpo,-0.281406067505202,0.0017221595873749,0.0110798357537874
Plxna4,-0.32516081996297,0.0017314787002292,0.0111360996682958
Dusp14,-0.97138979020994,0.0017459704456195,0.0112255833422137
Gm6480,0.352531468850876,0.0017495691293751,0.0112412713199985
